Name,RA,Dec,Dist. (ly)
Procyon,07h 39m 18.54s,"+05° 13' 39.0""",11
? CMi,07h 27m 09.07s,"+08° 17' 21.9""",170
? CMi,07h 28m 09.83s,"+08° 55' 31.8""",318
HD 66141,08h 02m 15.95s,"+02° 20' 03.5""",261
6 CMi,07h 29m 47.78s,"+12° 00' 23.8""",560
? CMi,07h 25m 38.90s,"+09° 16' 34.0""",988
? CMi,07h 51m 42.00s,"+01° 46' 00.8""",420
? CMi,07h 28m 02.08s,"+06° 56' 31.5""",351
?1 CMi,07h 32m 05.95s,"+01° 54' 52.1""",787
11 CMi,07h 46m 16.22s,"+10° 46' 05.9""",312
14 CMi,07h 58m 20.75s,"+02° 13' 28.3""",264
HD 55751,07h 14m 20.07s,"+03° 06' 41.1""",749
1 CMi,07h 24m 58.19s,"+11° 40' 10.4""",317
?2 CMi,07h 33m 11.68s,"+03° 17' 25.0""",139
HD 65900,08h 01m 13.91s,"+04° 52' 47.2""",346
HD 55730,07h 14m 32.65s,"+12° 06' 57.1""",331
HD 54079,07h 07m 49.48s,"+07° 28' 16.7""",568
HD 56031,07h 15m 39.42s,"+07° 58' 39.9""",604
?3 CMi,07h 34m 15.89s,"+03° 22' 18.3""",676
HD 64685,07h 55m 31.44s,"+08° 51' 47.0""",124
HD 60803,07h 36m 34.77s,"+05° 51' 43.6""",142
HD 56989,07h 19m 22.37s,"+02° 44' 26.6""",520
HD 57006,07h 19m 47.61s,"+07° 08' 35.1""",193
HD 61887,07h 41m 35.16s,"+03° 37' 29.4""",504
HD 57608,07h 22m 03.48s,"+00° 10' 37.7""",5344
HD 61563,07h 40m 06.99s,"+05° 13' 52.2""",670
HD 65066,07h 57m 15.88s,"+08° 38' 28.6""",294
HD 55111,07h 11m 51.39s,"+05° 39' 17.0""",782
HD 55184,07h 12m 07.50s,"+05° 28' 27.7""",753
HD 64938,07h 56m 23.91s,"+04° 29' 08.1""",845
HD 62264,07h 43m 05.42s,"+00° 11' 21.7""",453
HD 63799,07h 50m 47.36s,"+03° 16' 38.4""",384
HD 66011,08h 01m 50.73s,"+08° 54' 50.2""",194
HD 60275,07h 34m 04.98s,"+10° 34' 05.2""",420
BC CMi,07h 52m 07.16s,"+03° 16' 39.1""",420
HD 65123,07h 57m 16.39s,"+01° 07' 37.3""",191
HD 58552,07h 26m 27.81s,"+10° 36' 29.0""",316
HD 59603,07h 31m 08.79s,"+11° 12' 10.8""",712
HD 63838,07h 50m 53.42s,"+00° 04' 46.4""",414
HD 58599,07h 26m 41.22s,"+11° 00' 31.9""",1264
HD 62407,07h 44m 14.07s,"+12° 51' 36.4""",876
HD 63475,07h 49m 32.32s,"+12° 48' 51.5""",511
BU CMi,07h 58m 05.90s,"+07° 12' 48.8""",842
HD 57707,07h 22m 28.30s,"+00° 42' 03.4""",225
AZ CMi,07h 44m 07.64s,"+02° 24' 19.6""",433
HD 63798,07h 50m 51.11s,"+04° 27' 33.8""",387
HD 62286,07h 43m 21.21s,"+04° 56' 44.9""",643
S CMi,07h 32m 43.07s,"+08° 19' 05.2""",2450
AI CMi,07h 35m 41.15s,"+00° 14' 58.0""",
HD 56126,07h 16m 10.6s,"+09° 59' 48.0""",
YY CMi,08h 06m 38.56s,"+01° 55' 46.5""",
AD CMi,07h 52m 47.18s,"+01° 35' 50.5""",528
Luyten's star,07h 27m 24.91s,"+05° 13' 32.8""",12.37
XZ CMi,07h 54m 07.06s,"+03° 39' 20.4""",
AK CMi,07h 40m 15.60s,"+03° 57' 09.5""",
YZ CMi,07h 44m 40.17s,"+03° 33' 08.8""",19419
HAT-P-50,07h 52m 15.0s,"+28° 08' 22""",1947
BG CMi,07h 31m 29.01s,"+09° 56' 23.1""",
