Name,RA,Dec,Dist. (ly)
? Cha,08h 18m 31.27s,"?76° 55' 11.9""",63
? Cha,10h 35m 28.22s,"?78° 36' 28.1""",413
? Cha,12h 18m 20.94s,"?79° 18' 44.2""",271
? Cha,08h 20m 38.89s,"?77° 29' 04.5""",154
?2 Cha,10h 45m 47.14s,"?80° 32' 24.7""",363
? Cha,11h 59m 37.69s,"?78° 13' 18.5""",364
? Cha,12h 04m 46.66s,"?76° 31' 09.0""",441
? Cha,09h 33m 53.51s,"?80° 56' 28.7""",539
? Cha,09h 24m 09.73s,"?80° 47' 13.9""",184
? Cha,09h 46m 20.42s,"?76° 46' 33.5""",191
? Cha,08h 41m 19.60s,"?78° 57' 48.3""",316
?1 Cha,10h 45m 16.38s,"?80° 28' 10.3""",354
?¹ Cha,10h 00m 43.90s,"?82° 12' 53.1""",399
? Cha,11h 37m 15.94s,"?75° 53' 47.5""",137
HD 72922,08h 24m 20.38s,"?80° 54' 53.0""",252
HD 76236,08h 45m 55.23s,"?79° 30' 16.5""",559
HD 114533,13h 14m 17.36s,"?78° 26' 50.8""",1863
HD 120213,13h 55m 38.99s,"?82° 39' 58.1""",872
DR Cha,10h 41m 51.58s,"?79° 46' 59.9""",1000
RS Cha,08h 43m 12.31s,"?79° 04' 12.5""",319
HD 80194,09h 12m 12.27s,"?76° 39' 46.5""",364
HD 92209,10h 35m 24.80s,"?76° 18' 32.4""",517
HD 101782,11h 41m 01.60s,"?83° 05' 59.9""",344
DY Cha,13h 39m 12.04s,"?75° 41' 01.6""",929
HD 106248,12h 13m 56.48s,"?78° 34' 26.0""",353
HD 115088,13h 18m 48.34s,"?79° 58' 33.5""",444
HD 98617,11h 18m 34.21s,"?79° 40' 07.0""",210
HD 94717,10h 52m 28.67s,"?79° 33' 34.0""",1680
HD 101917,11h 42m 54.53s,"?79° 18' 22.9""",182
HD 99015,11h 21m 57.11s,"?77° 36' 30.1""",243
HD 113694,13h 08m 20.52s,"?78° 26' 45.5""",449
HD 86320,09h 51m 00.80s,"?80° 03' 39.9""",703
?2 Cha,10h 04m 07.37s,"?81° 33' 56.2""",564
HD 104237,12h 00m 05.08s,"?78° 11' 34.6""",374
RZ Cha,10h 42m 24.10s,"?82° 02' 14.2""",606
HD 97048,11h 08m 03.32s,"?77° 39' 17.4""",517
HD 116852,13h 30m 23.52s,"?78° 51' 20.5""",9300
HD 97300,11h 09m 50.02s,"?76° 37' 40.7""",574
HD 63454,07h 39m 21.85s,"?78° 16' 44.3""",117
R Cha,08h 21m 46.42s,"?76° 21' 18.5""",
Z Cha,08h 07m 27.75s,"?76° 32' 00.7""",
T Cha,11h 57m 13.55s,"?79° 21' 31.54""",534
CS Cha,11h 02m 25s,"?77° 33' 36""",575
CT Cha,11h 04m 09s,"?76° 27' 19""",538
ChaH?8,11h 07m 46.10s,"?77° 40' 08.9""",
DK Cha,12h 53m 17.20s,"?77° 07' 10.73""",
OTS 44,11h 10m 11.5s,"?76° 32' 13""",
