Name,RA,Dec,Dist. (ly)
? Cir,14h 42m 30.69s,"?64° 58' 28.5""",53
? Cir,15h 17m 30.96s,"?58° 48' 03.2""",97
? Cir,15h 23m 22.66s,"?59° 19' 14.5""",509
? Cir,15h 17m 38.89s,"?63° 36' 37.8""",373
? Cir,15h 16m 56.90s,"?60° 57' 26.1""",6392
? Cir,14h 56m 44.00s,"?62° 46' 51.6""",834
? Cir,15h 04m 48.05s,"?64° 01' 52.9""",267
HD 131342,14h 55m 34.71s,"?60° 06' 50.0""",173
HD 129422,14h 45m 17.25s,"?62° 52' 31.6""",150
HD 135591,15h 18m 49.15s,"?60° 29' 46.8""",3500
HD 125835,14h 25m 06.34s,"?68° 11' 43.2""",3505
HD 136359,15h 23m 10.60s,"?60° 39' 25.6""",136
HD 124471,14h 16m 38.73s,"?66° 35' 16.4""",2296
HD 120404,13h 51m 47.42s,"?69° 24' 04.5""",815
HD 120913,13h 54m 49.14s,"?67° 39' 07.4""",1268
HD 135160,15h 16m 36.69s,"?60° 54' 14.4""",1918
HD 126862,14h 31m 16.39s,"?67° 43' 01.4""",274
HD 126241,14h 27m 07.11s,"?65° 49' 17.8""",921
CO Cir,14h 48m 44.56s,"?66° 35' 36.7""",1144
AX Cir,14h 52m 35.27s,"?63° 48' 35.3""",1012
HD 121932,14h 00m 52.61s,"?66° 16' 07.9""",251
HD 128020,14h 37m 46.80s,"?67° 55' 52.8""",92
HD 123377,14h 10m 30.91s,"?70° 18' 19.6""",
HD 123492,14h 11m 01.93s,"?69° 43' 09.4""",240
? Cir,14h 54m 42.59s,"?65° 59' 27.8""",1226
HD 129462,14h 44m 55.57s,"?58° 28' 38.6""",366
BU Cir,14h 45m 10.97s,"?55° 36' 05.8""",1725
HD 121557,13h 58m 31.28s,"?65° 48' 02.1""",528
HD 128917,14h 41m 55.93s,"?58° 36' 56.6""",144
HD 130227,14h 49m 07.17s,"?56° 40' 03.1""",312
HD 133792,15h 09m 25.54s,"?63° 38' 34.4""",555
HD 134468,15h 13m 01.03s,"?61° 44' 37.6""",7581
HD 134060,15h 10m 44.97s,"?61° 25' 20.3""",79
HD 125990,14h 25m 39.80s,"?66° 10' 22.4""",418
HD 134657,15h 13m 59.19s,"?61° 20' 34.5""",830
HD 130942,14h 54m 54.05s,"?69° 51' 39.3""",926
HD 129092,14h 43m 28.15s,"?62° 58' 00.0""",1216
HD 131491,14h 56m 38.35s,"?62° 21' 51.9""",1012
HD 133557,15h 07m 56.15s,"?61° 07' 43.2""",406
HD 130021,14h 49m 37.06s,"?68° 56' 10.2""",851
BP Cir,14h 46m 41.98s,"?61° 27' 43.0""",
HD 129445,14h 46m 03.06s,"?68° 45' 45.9""",221
WR 70,15h 29m 44.69s,"?58° 34' 51.3""",1840
WR 66,15h 14m 57.72s,"?59° 50' 30.3""",
WR 65,15h 13m 41.71s,"?59° 11' 44.98""",
WR 67,15h 15m 32.627s,"?59° 02' 30.7""",
WR 67a,15h 16m 36.961s,"?58° 09' 58.79""",
WR 67b,15h 17m 46.301s,"?57° 56' 59.29""",
WR 67-3,15h 15m 39.42s,"?58° 08' 16.1""",
WR 68,15h 18m 20.758s,"?59° 38' 17.32""",
WR 68a,15h 23m 16.617s,"?57° 44' 19.79""",
WR 68-1,15h 20m 35.923s,"?57° 27' 11.95""",
BX Cir,14h 01m 36.47s,"?66° 09' 56.3""",
BW Cir,13h 58m 09.92s,"?64° 44' 04.9""",
Circinus X-1,15h 20m 40.85s,"?57° 10' 00.1""",
PSR B1451-68,14h 56m 00.03s,"?68° 43' 40.0""",
PSR B1509-58,15h 13m 55.52s,"?59° 08' 08.8""",
