Name,RA,Dec,Dist. (ly)
? Col,05h 39m 38.94s,"?34° 04' 26.6""",268
? Col,05h 50m 57.55s,"?35° 46' 09.5""",86
? Col,06h 22m 06.85s,"?33° 26' 10.6""",237
? Col,05h 31m 12.74s,"?35° 28' 13.6""",277
? Col,05h 59m 08.79s,"?42° 48' 54.4""",531
? Col,05h 57m 32.21s,"?35° 16' 59.9""",853
? Col,06h 16m 33.14s,"?35° 08' 26.6""",183
? Col,05h 17m 29.02s,"?34° 53' 39.8""",110
? Col,05h 53m 06.88s,"?33° 48' 05.2""",341
? Col,05h 55m 29.89s,"?37° 07' 14.2""",328
? Col,06h 07m 31.63s,"?37° 15' 10.5""",762
? Col,05h 45m 59.89s,"?32° 18' 23.0""",1294
HD 46568,06h 32m 21.33s,"?37° 41' 47.4""",273
?2 Col,05h 37m 44.64s,"?28° 41' 23.3""",138
WZ Col,05h 42m 15.19s,"?34° 40' 04.6""",363
HD 46815,06h 33m 49.49s,"?36° 13' 56.2""",406
HD 37811,05h 39m 49.85s,"?32° 37' 44.9""",382
HD 36848,05h 32m 51.38s,"?38° 30' 48.0""",172
?2 Col,06h 07m 52.87s,"?42° 09' 14.4""",261
? Col,05h 56m 20.94s,"?31° 22' 56.8""",1462
HD 41047,06h 01m 16.29s,"?33° 54' 42.4""",555
AF Col,06h 10m 10.42s,"?40° 21' 14.3""",853
HD 43899,06h 17m 01.23s,"?37° 44' 15.5""",302
HD 40091,05h 54m 52.49s,"?39° 57' 28.5""",509
HD 44506,06h 20m 36.24s,"?34° 08' 39.1""",2012
HD 36187,05h 28m 15.33s,"?37° 13' 51.4""",294
HD 47144,06h 35m 24.22s,"?36° 46' 47.7""",580
HD 39720,05h 52m 33.16s,"?37° 37' 51.6""",321
HD 45145,06h 24m 01.02s,"?36° 42' 28.4""",308
HD 41534,06h 04m 20.28s,"?32° 10' 21.8""",1083
SW Col,05h 23m 24.00s,"?39° 40' 42.4""",561
HD 47500,06h 37m 13.84s,"?36° 59' 26.5""",1655
HD 34266,05h 14m 28.84s,"?35° 58' 37.3""",484
HD 36874,05h 33m 07.32s,"?35° 08' 21.5""",278
HD 37192,05h 35m 15.45s,"?33° 04' 48.0""",317
HD 44323,06h 19m 40.95s,"?34° 23' 47.7""",396
HD 41843,06h 06m 05.53s,"?29° 45' 30.7""",266
HD 41759,06h 05m 27.17s,"?35° 30' 49.3""",263
HD 37717,05h 38m 43.53s,"?40° 42' 26.5""",490
HD 42054,06h 07m 03.67s,"?34° 18' 43.3""",1052
HD 46349,06h 31m 13.10s,"?35° 15' 31.9""",811
HD 36060,05h 27m 05.32s,"?40° 56' 37.6""",310
HD 43940,06h 17m 09.57s,"?37° 15' 12.4""",202
HD 34868,05h 19m 23.69s,"?27° 22' 07.9""",446
HD 43847,06h 16m 35.60s,"?39° 15' 51.7""",390
HD 47463,06h 37m 01.89s,"?38° 08' 47.8""",434
AN Col,05h 21m 16.86s,"?34° 20' 42.2""",1895
?1 Col,05h 37m 16.49s,"?27° 52' 16.3""",145
?1 Col,06h 06m 41.07s,"?42° 17' 55.7""",322
HD 38138,05h 42m 11.58s,"?30° 32' 07.7""",566
HD 46365,06h 30m 59.90s,"?40° 54' 58.6""",581
HD 38804,05h 47m 04.58s,"?28° 38' 20.2""",604
HD 45383,06h 25m 30.01s,"?35° 03' 50.5""",506
HD 38385,05h 43m 30.15s,"?39° 24' 24.9""",174
HD 37286,05h 36m 10.28s,"?28° 42' 28.8""",184
SX Col,06h 31m 34.95s,"?36° 56' 24.7""",931
HD 38885,05h 47m 18.69s,"?35° 40' 27.2""",511
HD 45306,06h 24m 44.50s,"?40° 17' 02.3""",522
HD 45983,06h 28m 42.40s,"?41° 04' 29.7""",264
HD 35046,05h 20m 20.71s,"?34° 41' 55.9""",698
HD 39891,05h 54m 14.04s,"?29° 08' 49.6""",183
HD 38056,05h 41m 26.92s,"?33° 24' 02.6""",432
HD 47230,06h 35m 54.07s,"?36° 05' 18.4""",131
HD 47475,06h 36m 51.27s,"?41° 33' 25.8""",1689
HD 40359,05h 56m 49.00s,"?31° 58' 34.6""",776
HD 46727,06h 33m 10.24s,"?38° 37' 30.5""",470
HD 39543,05h 51m 59.59s,"?29° 26' 57.8""",694
HD 45680,06h 27m 07.59s,"?37° 53' 44.2""",162
HD 39901,05h 53m 22.85108s,"?42° 53' 16.7819""",680
HD 43848,06h 16m 31.36s,"?40° 31' 54.7""",123.4
WASP-63,06h 17m 21.0s,"?38° 19' 24""",1076
L 449-1,05h 17m 22.93s,"?35° 21' 54.5""",19
TV Col,05h 29m 25.53s,"?32° 49' 03.9""",
AP Col,06h 04m 52.16s,"?34° 33' 36.1""",27.4
WASP-160 B,05h 50m 43.1s,"?27° 37' 23""",
TX Col,05h 43m 20.17s,"?41° 08' 54.3""",
4U 0513-40,05h 14m 06.59s,"?40° 02' 37.0""",35900
