Name,RA,Dec,Dist. (ly)
? Com,13h 11m 52.92s,"+27° 52' 33.7""",30
? Com A,13h 09m 59.55s,"+17° 31' 44.8""",47
? Com,12h 26m 56.33s,"+28° 16' 07.0""",170
11 Com,12h 20m 43.09s,"+17° 47' 33.6""",361
36 Com,12h 58m 55.47s,"+17° 24' 33.7""",299
12 Com A,12h 22m 30.32s,"+25° 50' 46.3""",273
23 Com,12h 34m 51.12s,"+22° 37' 45.1""",365
41 Com,13h 07m 10.71s,"+27° 37' 29.7""",303
35 Com,12h 53m 17.77s,"+21° 14' 42.1""",324
37 Com,13h 00m 16.49s,"+30° 47' 06.1""",898
14 Com,12h 26m 24.07s,"+27° 16' 05.7""",273
7 Com,12h 16m 20.56s,"+23° 56' 43.5""",248
31 Com,12h 51m 41.93s,"+27° 32' 26.6""",307
16 Com,12h 26m 59.30s,"+26° 49' 32.6""",282
HD 106760,12h 16m 30.17s,"+33° 03' 42.5""",306
24 Com A,12h 35m 07.76s,"+18° 22' 37.2""",614
6 Com,12h 16m 00.23s,"+14° 53' 56.9""",198
27 Com,12h 46m 38.75s,"+16° 34' 39.5""",322
13 Com,12h 24m 18.54s,"+26° 05' 55.0""",284
? Com B,13h 09m 59.30s,"+17° 31' 46.0""",
17 Com,12h 28m 54.72s,"+25° 54' 46.4""",270
21 Com,12h 31m 00.57s,"+24° 34' 01.9""",311
18 Com,12h 29m 27.05s,"+24° 06' 32.1""",216
26 Com,12h 39m 07.36s,"+21° 03' 45.3""",286
HD 107325,12h 20m 19.72s,"+26° 37' 11.1""",157
FS Com,13h 06m 22.58s,"+22° 36' 58.6""",572
5 Com,12h 12m 09.30s,"+20° 32' 31.6""",484
4 Com,12h 11m 51.20s,"+25° 52' 13.3""",774
20 Com,12h 29m 43.22s,"+20° 53' 46.3""",254
25 Com,12h 36m 58.35s,"+17° 05' 22.5""",518
HD 106887,12h 17m 30.60s,"+28° 56' 13.6""",174
29 Com,12h 48m 54.20s,"+14° 07' 21.5""",402
HD 116706,13h 25m 06.68s,"+23° 51' 16.0""",254
30 Com,12h 49m 17.51s,"+27° 33' 08.4""",327
HD 109519,12h 35m 08.15s,"+21° 52' 53.2""",652
2 Com,12h 04m 16.58s,"+21° 27' 33.0""",359
HD 114326,13h 09m 47.89s,"+16° 50' 55.1""",733
38 Com,13h 01m 09.62s,"+17° 07' 23.5""",400
39 Com,13h 06m 21.28s,"+21° 09' 12.6""",163
HD 105805,12h 10m 46.10s,"+27° 16' 53.5""",308
HD 108123,12h 25m 15.07s,"+23° 55' 34.7""",497
