Name,RA,Dec,Dist. (ly)
? CrA,19h 10m 01.75s,"?39° 20' 26.5""",508
? CrA,19h 09m 28.28s,"?37° 54' 15.3""",130
? CrA A,19h 06m 25.04s,"?37° 03' 45.9""",58
? CrA,19h 08m 20.93s,"?40° 29' 47.9""",175
? CrA,18h 33m 30.16s,"?42° 18' 44.9""",867
? CrA,19h 03m 06.83s,"?42° 05' 42.0""",184
? CrA,18h 58m 43.47s,"?37° 06' 25.5""",98
HD 165189,18h 06m 49.88s,"?43° 25' 29.9""",143
? CrA B,19h 06m 25.10s,"?37° 03' 48.0""",
HD 168592,18h 22m 18.60s,"?38° 39' 24.6""",503
? CrA,18h 43m 46.94s,"?38° 19' 23.9""",202
HD 170642,18h 32m 21.31s,"?39° 42' 14.1""",220
? CrA,18h 47m 44.60s,"?40° 24' 22.0""",393
HD 168905,18h 24m 18.24s,"?44° 06' 36.7""",524
HD 175219,18h 56m 16.97s,"?42° 42' 38.2""",310
V686 CrA,18h 56m 40.49s,"?37° 20' 35.5""",425
HD 172991,18h 44m 57.15s,"?39° 41' 10.2""",1320
V718 CrA,18h 39m 35.18s,"?43° 11' 08.8""",817
HD 167096,18h 15m 53.39s,"?44° 12' 23.4""",268
?1 CrA,18h 48m 50.47s,"?43° 40' 48.0""",347
V692 CrA,18h 13m 12.70s,"?41° 20' 09.9""",1655
?2 CrA,18h 49m 35.00s,"?43° 26' 02.5""",607
HD 169853,18h 28m 27.11s,"?38° 59' 44.1""",498
?2 CrA,18h 33m 23.13s,"?38° 43' 33.4""",1716
HD 170521,18h 31m 56.22s,"?43° 30' 26.5""",1244
V701 CrA,19h 03m 17.69s,"?38° 15' 11.5""",211
HD 166114,18h 11m 05.54s,"?41° 21' 32.5""",269
HD 178322,19h 09m 57.65s,"?41° 53' 32.0""",817
HD 179433,19h 14m 39.52s,"?45° 11' 36.4""",296
HD 170384,18h 31m 02.95s,"?41° 54' 49.5""",255
HD 177565,19h 06m 52.60s,"?37° 48' 35.2""",56
HD 176425,19h 02m 08.50s,"?41° 54' 37.7""",352
HD 170773,18h 33m 00.85s,"?39° 53' 30.6""",118
HD 175395,18h 57m 14.31s,"?43° 55' 01.0""",712
HD 175529,18h 57m 34.39s,"?39° 49' 23.8""",201
HD 167756,18h 18m 40.15s,"?42° 17' 18.2""",
?1 CrA,18h 33m 23.08s,"?38° 43' 12.0""",489
HD 178628,19h 11m 01.91s,"?39° 00' 16.9""",2629
HD 169943,18h 29m 12.87s,"?43° 50' 45.6""",512
HD 176270,19h 01m 04.30s,"?37° 03' 41.4""",252
HD 178254,19h 09m 39.76s,"?39° 49' 37.9""",350
HD 168357,18h 20m 55.19s,"?37° 29' 15.5""",2280
HD 174407,18h 52m 11.95s,"?41° 42' 32.8""",682
HD 175093,18h 55m 23.55s,"?37° 23' 11.8""",424
HD 175855,18h 59m 10.97s,"?39° 32' 04.7""",486
HD 174152,18h 50m 58.65s,"?41° 03' 45.6""",1772
V693 CrA,18h 41m 57.8s,"?37° 31' 14""",
V394 CrA,18h 00m 25.97s,"?39° 00' 35.1""",
HD 166473,18h 12m 25.83s,"?37° 45' 09.2""",
HD 166724,18h 14m 00s,"?42° 34' 31""",138
TY CrA,19h 01m 40.83s,"?36° 52' 33.9""",
V CrA,18h 47m 32.31s,"?38° 09' 32.3""",
S CrA,19h 01m 08.60s,"?36° 57' 20.0""",
R CrA,19h 01m 53.65s,"?36° 57' 07.6""",79.64
T CrA,19h 01m 58.78s,"?36° 57' 49.9""",
2A 1822-371,18h 25m 46.81s,"?37° 06' 18.6""",
RX J1856.5-3754,18h 56m 35.11s,"?37° 54' 30.5""",400
Y CrA,18h 14m 22.95s,"?42° 50' 32.4""",
RU CrA,19h 17m 23.46s,"?39° 36' 46.40""",
