Name,RA,Dec,Dist. (ly)
? CrB,15h 34m 41.19s,"+26° 42' 53.7""",75
? CrB,15h 27m 49.85s,"+29° 06' 19.8""",114
? CrB,15h 42m 44.64s,"+26° 17' 43.9""",145
? CrB,15h 32m 55.80s,"+31° 21' 33.0""",311
? CrB,15h 57m 35.30s,"+26° 52' 40.9""",230
? CrB,15h 49m 35.70s,"+26° 04' 06.8""",165
? CrB,15h 39m 22.68s,"+36° 38' 09.0""",473
? CrB,16h 08m 58.33s,"+36° 29' 24.4""",113
? CrB,15h 51m 13.94s,"+35° 39' 29.6""",101
? CrB,16h 22m 05.89s,"+30° 53' 30.2""",184
? CrB,16h 01m 26.59s,"+29° 51' 03.9""",351
? CrB A,15h 23m 12.23s,"+30° 17' 17.7""",61
? CrB,15h 35m 14.90s,"+39° 00' 36.2""",571
?1 CrB,16h 22m 21.42s,"+33° 47' 56.9""",555
? CrB,16h 01m 02.80s,"+33° 18' 19.4""",57
?2 CrB,16h 22m 29.22s,"+33° 42' 12.1""",545
? CrB,15h 55m 47.57s,"+37° 56' 48.3""",135
? CrB,15h 20m 08.64s,"+29° 36' 58.7""",274
? CrB A,16h 14m 41.04s,"+33° 51' 31.8""",71
? CrB,15h 43m 59.32s,"+32° 30' 57.0""",249
HD 143435,15h 58m 57.70s,"+36° 38' 37.3""",898
HD 145849,16h 11m 48.06s,"+36° 25' 30.6""",610
HD 144208,16h 03m 19.36s,"+36° 37' 54.6""",691
? CrB,16h 16m 44.77s,"+29° 09' 01.1""",825
R CrB,15h 48m 34.42s,"+28° 09' 24.4""",6037
? CrB B,15h 23m 12.30s,"+30° 17' 16.0""",
HD 139761,15h 38m 48.86s,"+34° 40' 30.3""",460
HD 146537,16h 15m 47.34s,"+27° 25' 19.8""",442
HD 139284,15h 35m 49.19s,"+38° 22' 26.2""",683
HD 145802,16h 11m 39.60s,"+33° 20' 33.8""",515
HD 136403,15h 19m 30.07s,"+32° 30' 53.6""",278
HD 138525,15h 31m 22.31s,"+36° 37' 00.0""",225
HD 145957,16h 12m 06.55s,"+39° 03' 20.1""",867
HD 141456,15h 48m 01.79s,"+31° 44' 08.6""",823
23 Her,16h 22m 56.48s,"+32° 19' 58.9""",515
HD 138341,15h 30m 22.78s,"+31° 17' 09.5""",460
HD 139389,15h 36m 53.37s,"+29° 59' 28.8""",117
HD 145976,16h 12m 45.43s,"+26° 40' 14.4""",238
HD 145457,16h 10m 03.91s,"+26° 44' 33.9""",411
? CrB B,16h 14m 40.80s,"+33° 51' 30.0""",
S CrB,15h 21m 23.80s,"+31° 22' 02.0""",1762
RS CrB,15h 58m 30.76s,"+36° 01' 19.7""",1070
ADS 9731,15h 38m 12.91s,"+38° 16' 48.6""",349
V CrB,15h 49m 31.31s,"+39° 34' 17.91""",8800
U CrB,15h 18m 11.35s,"+31° 38' 49.4""",811
HD 140913,15h 43m 07.45s,"+28° 28' 11.8""",143.1
RR CrB,15h 41m 26.23s,"+38° 33' 26.6""",1110
YY CrB,15h 50m 32.43s,"+37° 50' 07.6""",301
RT CrB,15h 38m 03.03s,"+29° 29' 13.9""",
RW CrB,15h 39m 15.23s,"+29° 37' 19.6""",679
TW CrB,16h 06m 50.70s,"+27° 16' 34.6""",
T CrB,15h 59m 30.16s,"+25° 55' 12.6""",3500
BD +33 2642,15h 51m 59.89s,"+32° 56' 54.3""",33000
XO-1,16h 02m 11.84s,"+28° 10' 10.43""",652
UW CrB,16h 05m 45.87s,"+25° 51' 45.17""",
