Name,RA,Dec,Dist. (ly)
? Crv,12h 15m 48.47s,"?17° 32' 31.1""",165
? Crv,12h 34m 23.23s,"?23° 23' 47.8""",140
? Crv,12h 29m 51.98s,"?16° 30' 54.3""",88
? Crv,12h 10m 07.53s,"?22° 37' 11.3""",303
? Crv,12h 08m 24.75s,"?24° 43' 43.6""",48
? Crv,12h 32m 04.48s,"?16° 11' 45.1""",59
HD 107418,12h 20m 55.72s,"?13° 33' 56.7""",201
VV Crv,12h 41m 16.02s,"?13° 00' 50.1""",278
? Crv,12h 20m 33.71s,"?22° 12' 57.0""",385
31 Crt,12h 00m 51.17s,"?19° 39' 32.4""",1753
3 Crv,12h 11m 03.88s,"?23° 36' 08.5""",183
HD 109272,12h 33m 34.27s,"?12° 49' 49.2""",158
HD 108821,12h 30m 17.46s,"?23° 41' 47.1""",898
6 Crv,12h 23m 21.60s,"?24° 50' 26.2""",316
HD 109141,12h 32m 36.09s,"?13° 51' 32.3""",120
HD 106485,12h 14m 59.58s,"?20° 50' 39.2""",353
HD 107295,12h 20m 10.83s,"?22° 10' 32.3""",474
HD 109931,12h 38m 44.69s,"?18° 15' 00.6""",203
HD 110385,12h 41m 49.51s,"?19° 45' 32.9""",216
HD 106819,12h 17m 03.36s,"?16° 41' 37.5""",540
HD 112304,12h 55m 53.25s,"?15° 19' 37.3""",669
TU Crv,12h 35m 58.77s,"?20° 31' 38.5""",251
HD 109238,12h 33m 22.27s,"?19° 47' 32.9""",432
HD 104307,12h 00m 42.23s,"?21° 50' 14.9""",532
HD 108477,12h 27m 49.45s,"?16° 37' 54.7""",1278
HD 108799,12h 30m 04.93s,"?13° 23' 35.0""",81
HD 109132,12h 32m 32.89s,"?21° 12' 43.2""",419
TT Crv,12h 23m 18.90s,"?11° 48' 43.5""",881
R Crv,12h 19m 37.87s,"?19° 15' 21.8""",
HD 111031,12h 46m 30.85s,"?11° 48' 44.8""",99
HD 103774,11h 56m 56.0s,"?12° 06' 28""",179
HD 104067,11h 59m 10.01s,"?20° 21' 13.6""",68
HD 111980,12h 53m 15.05s,"?18° 31' 20.0""",310.5
RV Crv,12h 37m 40.71s,"?19° 34' 40.1""",656
SX Crv,12h 40m 15.04s,"?18° 48' 00.9""",298.0
W Crv,12h 07m 37.36s,"?13° 08' 59.0""",
TV Crv,12h 20m 24.15s,"?18° 27' 02.0""",
WASP-83,12h 40m 37.0s,"?19° 17' 03""",978
DENIS-P J1228.2-1547,12h 28m 15.23s,"?15° 47' 34.2""",66.0
