Name,RA,Dec,Dist. (ly)
? Crt,11h 19m 20.52s,"?14° 46' 44.6""",195
? Crt,11h 24m 52.98s,"?17° 41' 02.5""",84
? Crt,10h 59m 46.75s,"?18° 17' 56.8""",174
? Crt,11h 11m 39.49s,"?22° 49' 32.2""",266
? Crt,11h 36m 40.95s,"?09° 48' 08.1""",305
? Crt,11h 44m 45.76s,"?18° 21' 02.2""",350
? Crt,11h 24m 36.61s,"?10° 51' 33.8""",364
? Crt,11h 23m 22.07s,"?18° 46' 47.6""",143
? Crt,11h 56m 00.98s,"?17° 09' 02.9""",285
? Crt,11h 38m 39.96s,"?13° 12' 08.1""",88
HD 95808,11h 03m 14.93s,"?11° 18' 11.6""",318
HD 94481,10h 54m 17.78s,"?13° 45' 29.0""",409
HD 99922,11h 29m 38.65s,"?24° 27' 50.6""",403
HD 95314,11h 00m 11.70s,"?14° 04' 59.9""",442
HD 95234,10h 59m 30.95s,"?16° 21' 13.3""",1185
? Crt,11h 27m 09.58s,"?12° 21' 24.5""",219
HD 100343,11h 32m 47.54s,"?07° 49' 39.1""",575
HD 100418,11h 33m 14.81s,"?16° 16' 49.0""",400
HD 96220,11h 05m 33.98s,"?11° 05' 19.4""",209
? Crt,11h 12m 30.38s,"?18° 29' 59.3""",479
HD 98088,11h 16m 58.18s,"?07° 08' 04.9""",421
HD 102845,11h 50m 19.60s,"?15° 51' 49.3""",672
VX Crt,11h 39m 50.35s,"?16° 37' 12.8""",1012
HD 101369,11h 39m 51.14s,"?14° 28' 06.6""",597
HD 101695,11h 42m 03.53s,"?20° 17' 38.5""",234
HD 100219,11h 31m 47.63s,"?20° 46' 35.6""",129
HD 102574,11h 48m 23.55s,"?10° 18' 46.2""",139
HD 94386,10h 53m 32.86s,"?15° 26' 44.5""",251
HD 95870,11h 03m 36.53s,"?13° 26' 05.7""",549
HD 102990,11h 51m 22.04s,"?12° 11' 16.5""",147
HD 95441,11h 00m 57.34s,"?15° 47' 33.3""",572
HD 97428,11h 12m 34.79s,"?21° 44' 57.7""",685
HD 101259,11h 39m 00.42s,"?24° 43' 13.8""",211
SY Crt,11h 15m 39.77s,"?12° 35' 33.3""",797
HD 98649,11h 20m 52s,"?23° 13' 02""",131
HD 96167,11h 05m 15.07s,"?10° 17' 28.68""",273
HD 98219,11h 17m 48s,"?23° 58' 31""",437
HD 99563,11h 27m 16.64s,"?08° 52' 08.2""",832
HD 98800,11h 22m 05.29s,"?24° 46' 39.8""",146.4
S Crt,11h 52m 45.10s,"?07° 35' 48.1""",2590
R Crt,11h 00m 33.85s,"?18° 19' 29.6""",851
HD 95872,11h 03m 28.0s,"?22° 05' 38""",24.65
BD-10°3166,10h 58m 28.78s,"?18° 19' 29.6""",218
V Crt,11h 21m 13.43s,"?16° 40' 23.1""",
WASP-34,11h 01m 36s,"?23° 51' 38""",391
W Crt,11h 26m 29.64s,"?17° 54' 51.7""",
WASP-31,11h 17m 45s,"?19° 03' 17""",1300
HATS-1,11h 42m 06.0s,"?23° 21' 17""",988
WASP-162,11h 13m 10.0s,"?17° 39' 28""",
HATS-2,11h 46m 57.4s,"?22° 33' 47""",1174
TT Crt,11h 34m 47.18s,"?11° 45' 30.4""",
DENIS-P J1058.7-1548,10h 58m 47.87s,"?15° 48' 17.2""",56.5
