Name,RA,Dec,Dist. (ly)
? Del,20h 37m 32.87s,"+14° 35' 42.7""",97
? Del,20h 39m 38.25s,"+15° 54' 43.4""",241
? Del,20h 33m 12.76s,"+11° 18' 12.0""",359
?2 Del,20h 46m 39.52s,"+16° 07' 29.2""",101
? Del,20h 43m 27.55s,"+15° 04' 28.9""",203
? Del,20h 35m 18.51s,"+14° 40' 27.1""",227
? Aql,20h 14m 16.59s,"+15° 11' 50.9""",153
? Del,20h 39m 07.59s,"+10° 05' 10.1""",98
?1 Del,20h 46m 38.87s,"+16° 07' 28.6""",103
17 Del,20h 55m 36.68s,"+13° 43' 17.6""",474
? Del,20h 33m 57.00s,"+13° 01' 37.9""",173
? Del,20h 37m 49.10s,"+11° 22' 39.7""",177
18 Del,20h 58m 25.96s,"+10° 50' 21.7""",238
16 Del,20h 55m 38.55s,"+12° 34' 06.6""",199
13 Del,20h 47m 48.33s,"+06° 00' 29.7""",513
? Del,20h 38m 43.98s,"+13° 18' 54.5""",1304
HD 200044,21h 00m 27.70s,"+19° 19' 47.0""",596
HD 193472,20h 20m 00.19s,"+13° 32' 53.2""",294
HD 196775,20h 39m 04.97s,"+15° 50' 17.6""",1299
10 Del,20h 41m 16.21s,"+14° 34' 58.4""",488
15 Del,20h 49m 37.74s,"+12° 32' 41.6""",96
1 Del,20h 30m 17.95s,"+10° 53' 45.3""",566
HD 199223,20h 55m 40.64s,"+04° 31' 57.7""",361
HD 194012,20h 22m 52.32s,"+14° 33' 04.0""",85
HD 193556,20h 20m 20.53s,"+14° 34' 09.3""",550
HD 193373,20h 19m 29.31s,"+13° 13' 00.5""",791
HD 194953,20h 28m 16.77s,"+02° 56' 13.7""",456
HD 198404,20h 49m 59.07s,"+05° 32' 40.4""",495
HD 195479,20h 30m 58.10s,"+20° 36' 21.6""",346
EU Del,20h 37m 54.71s,"+18° 16' 06.4""",356
HD 194688,20h 26m 23.15s,"+17° 18' 56.1""",813
HD 194937,20h 28m 07.52s,"+08° 26' 14.7""",326
LU Del,20h 41m 58.16s,"+17° 31' 17.0""",432
HD 201196,21h 07m 33.61s,"+15° 39' 31.7""",369
HD 194526,20h 25m 44.10s,"+10° 03' 21.9""",876
14 Del,20h 49m 48.24s,"+07° 51' 51.0""",517
HD 200430,21h 03m 01.78s,"+14° 43' 48.1""",633
HD 194578,20h 26m 01.58s,"+13° 54' 42.0""",815
HD 198070,20h 47m 47.86s,"+03° 18' 23.2""",467
HD 196885,20h 39m 51.85s,"+11° 14' 58.0""",108
HD 195909,20h 33m 59.92s,"+04° 53' 55.3""",622
HD 197076,20h 40m 45.07s,"+19° 56' 05.2""",68
HD 194841,20h 27m 14.19s,"+20° 28' 35.4""",1655
HD 194616,20h 26m 01.15s,"+19° 51' 55.6""",675
U Del,20h 45m 28.23s,"+18° 05' 24.2""",1240
HD 195019,20h 28m 18.64s,"+18° 46' 10.2""",122
Gliese 795,20h 39m 37.71s,"+04° 58' 19.3""",54.52
V Del,20h 47m 46.04s,"+19° 20' 06.9""",
DM Del,20h 39m 37.01s,"+14° 25' 43.1""",
LS Del,20h 57m 10.29s,"+19° 38' 55.2""",256.5
MR Del,20h 31m 13.46s,"+05° 13' 08.5""",158.3
TX Del,20h 50m 12.69s,"+03° 39' 08.4""",
DX Del,20h 47m 28.36s,"+12° 27' 50.7""",4200
W Del,20h 37m 40.09s,"+18° 17' 03.8""",2200
TY Del,21h 04m 21.98s,"+13° 12' 53.5""",
HAT-P-23,20h 24m 30s,"+16° 45' 44""",1282
WASP-2,20h 30m 54s,"+06° 25' 46""",
BX Del,20h 21m 18.97s,"+18° 26' 16.2""",
WASP-176,20h 54m 45.0s,"+09° 10' 45""",1885
HR Del,20h 42m 20.35s,"+19° 09' 35.3""",
HU Del,20h 29m 48.34s,"+09° 41' 20.3""",29.6
He 2-467,20h 35m 57.23s,"+20° 11' 27.5""",
CM Del,20h 24m 56.93s,"+17° 17' 54.4""",
V339 Del,20h 29m 30.68s,"+20° 46' 03.8""",
WISE 2056+1459,20h 56m 28.90s,"+14° 59' 53.3""",22.6
