Name,RA,Dec,Dist. (ly)
? Dra,17h 56m 36.38s,"+51° 29' 20.2""",148
? Dra,16h 23m 59.51s,"+61° 30' 50.7""",88
? Dra,17h 30m 25.98s,"+52° 18' 04.9""",361
? Dra,19h 12m 33.15s,"+67° 39' 40.7""",100
? Dra,17h 08m 47.23s,"+65° 42' 52.7""",340
? Dra,15h 24m 55.78s,"+58° 57' 57.7""",102
? Dra,18h 21m 02.34s,"+72° 44' 01.3""",26
Thuban,14h 04m 23.43s,"+64° 22' 32.9""",309
? Dra,17h 53m 31.63s,"+56° 52' 20.8""",111
? Dra,11h 31m 24.29s,"+69° 19' 52.0""",334
? Dra,19h 48m 10.21s,"+70° 16' 04.2""",146
? Dra,12h 33m 29.04s,"+69° 47' 17.6""",498
? Dra,16h 01m 53.70s,"+58° 33' 52.0""",68
? Dra,18h 20m 45.44s,"+71° 20' 15.8""",289
HD 81817,09h 37m 05.35s,"+81° 19' 35.1""",1076
? Dra,19h 15m 33.29s,"+73° 21' 18.8""",150
? Dra,20h 02m 49.05s,"+67° 52' 24.4""",406
?1 Dra A,17h 41m 56.31s,"+72° 08' 58.2""",72
CU Dra,13h 51m 25.94s,"+64° 43' 23.8""",391
? Dra,19h 20m 40.07s,"+65° 42' 51.9""",225
? Dra,18h 51m 12.01s,"+59° 23' 17.8""",322
? Dra,19h 32m 20.59s,"+69° 39' 55.4""",19
? Dra,17h 36m 57.09s,"+68° 45' 25.9""",76
45 Dra,18h 32m 34.52s,"+57° 02' 44.2""",2885
42 Dra,18h 25m 58.99s,"+65° 33' 48.8""",317
? Dra,18h 54m 23.77s,"+71° 17' 49.5""",344
18 Dra,16h 40m 55.12s,"+64° 35' 20.7""",681
HD 151613,16h 45m 17.79s,"+56° 46' 54.1""",87
HD 91190,10h 35m 05.59s,"+75° 42' 46.7""",257
?2 Dra,17h 32m 15.88s,"+55° 10' 22.1""",100
19 Dra,16h 56m 01.36s,"+65° 08' 04.8""",49
?1 Dra,17h 32m 10.42s,"+55° 11' 02.8""",99
? Dra A,17h 05m 20.18s,"+54° 28' 11.5""",88
HD 175535,18h 53m 13.54s,"+50° 42' 29.8""",337
15 Dra,16h 27m 59.05s,"+68° 46' 05.0""",491
6 Dra,12h 34m 44.07s,"+70° 01' 18.4""",546
CL Dra,15h 57m 47.59s,"+54° 44' 58.2""",110
39 Dra,18h 23m 54.65s,"+58° 48' 02.1""",188
36 Dra,18h 13m 53.36s,"+64° 23' 49.9""",77
54 Dra,19h 13m 55.16s,"+57° 42' 18.9""",162
CQ Dra,12h 30m 06.76s,"+69° 12' 04.5""",581
30 Dra,17h 49m 04.33s,"+50° 46' 50.0""",217
35 Dra,17h 49m 26.94s,"+76° 57' 44.2""",105
,18h 21m 32.68s,"+49° 07' 17.3""",755
46 Dra,18h 42m 37.96s,"+55° 32' 21.8""",364
17 Dra,16h 36m 13.73s,"+52° 55' 27.7""",397
27 Dra,17h 31m 57.89s,"+68° 08' 04.9""",217
59 Dra,19h 09m 09.75s,"+76° 33' 38.9""",89
53 Dra,19h 11m 40.52s,"+56° 51' 32.7""",341
AF Dra,20h 31m 30.40s,"+74° 57' 16.8""",417
2 Dra,11h 36m 02.62s,"+69° 19' 23.7""",242
,15h 46m 39.95s,"+62° 35' 58.9""",272
64 Dra,20h 01m 28.53s,"+64° 49' 15.6""",564
8 Dra,12h 55m 28.56s,"+65° 26' 18.8""",94
26 Dra,17h 34m 59.25s,"+61° 52' 33.0""",46
,18h 45m 46.76s,"+74° 05' 07.3""",335
,16h 21m 48.74s,"+69° 06' 33.9""",294
,16h 38m 00.46s,"+56° 00' 55.4""",259
3 Dra,11h 42m 28.43s,"+66° 44' 41.3""",643
,20h 47m 33.56s,"+80° 33' 08.5""",401
9 Dra,12h 59m 55.28s,"+66° 35' 50.3""",577
,16h 17m 15.34s,"+59° 45' 17.9""",657
50 Dra,18h 46m 22.26s,"+75° 26' 01.7""",304
,18h 33m 56.70s,"+52° 21' 12.6""",795
75 Dra,20h 28m 14.45s,"+81° 25' 21.6""",456
LV Dra,19h 00m 13.67s,"+50° 32' 00.5""",623
51 Dra,19h 04m 55.17s,"+53° 23' 47.8""",349
66 Dra,20h 05m 32.73s,"+61° 59' 42.9""",174
7 Dra,12h 47m 34.34s,"+66° 47' 25.1""",778
?2 Dra,17h 55m 11.14s,"+72° 00' 18.5""",723
,16h 06m 19.73s,"+67° 48' 35.9""",273
,12h 18m 50.07s,"+75° 09' 38.0""",289
,14h 51m 26.57s,"+59° 17' 37.1""",442
,18h 51m 35.00s,"+52° 58' 28.3""",85
49 Dra,19h 00m 43.47s,"+55° 39' 29.9""",495
16 Dra,16h 36m 11.43s,"+52° 53' 59.9""",400
,17h 12m 32.56s,"+62° 52' 27.2""",136
AC Dra,20h 20m 05.98s,"+68° 52' 48.9""",681
,18h 56m 25.74s,"+65° 15' 29.4""",314
,17h 25m 41.36s,"+60° 02' 54.0""",340
,18h 29m 44.96s,"+77° 32' 49.5""",475
,16h 23m 47.19s,"+61° 41' 47.0""",412
48 Dra,18h 56m 45.08s,"+57° 48' 54.0""",286
,17h 21m 45.35s,"+53° 25' 13.5""",591
,20h 21m 11.52s,"+63° 58' 48.3""",733
68 Dra,20h 11m 34.74s,"+62° 04' 42.1""",159
DE Dra,20h 19m 36.70s,"+62° 15' 26.7""",378
HD 106574,12h 15m 08.53s,"+70° 12' 00.3""",468
,15h 22m 38.43s,"+63° 20' 30.0""",380
,14h 32m 30.93s,"+55° 23' 53.0""",612
,15h 30m 55.91s,"+64° 12' 30.6""",318
41 Dra,18h 00m 09.07s,"+80° 00' 13.7""",173
,18h 37m 33.51s,"+62° 31' 35.3""",426
DQ Dra,16h 24m 25.33s,"+55° 12' 18.2""",366
HD 161693,17h 43m 59.17s,"+53° 48' 06.16""",457
76 Dra,20h 42m 35.10s,"+82° 31' 52.0""",358
,15h 35m 57.08s,"+54° 37' 50.0""",246
? Dra B,17h 05m 19.70s,"+54° 28' 13.0""",
,15h 52m 16.58s,"+55° 49' 35.7""",359
?1 Dra B,17h 41m 58.04s,"+72° 09' 27.3""",73
,18h 54m 47.17s,"+48° 51' 35.0""",173
,13h 41m 29.82s,"+64° 49' 20.8""",221
,15h 37m 32.04s,"+54° 30' 31.6""",355
,15h 47m 37.91s,"+55° 22' 35.8""",260
,17h 37m 08.84s,"+72° 27' 20.7""",321
,15h 27m 51.44s,"+60° 40' 12.8""",595
,19h 44m 18.40s,"+69° 20' 13.6""",442
,15h 01m 27.11s,"+60° 12' 15.9""",327
CX Dra,18h 46m 43.08s,"+52° 59' 16.7""",2173
,19h 20m 16.00s,"+57° 38' 42.4""",881
HD 193664,20h 17m 30.63s,"+66° 51' 10.7""",57
,16h 32m 25.66s,"+60° 49' 24.0""",335
,16h 02m 05.56s,"+52° 54' 57.6""",819
,15h 46m 34.88s,"+55° 28' 28.6""",1042
37 Dra,18h 15m 17.05s,"+68° 45' 21.5""",284
74 Dra,20h 29m 27.31s,"+81° 05' 26.7""",205
HD 139357,15h 35m 16.22s,"+53° 55' 19.7""",396
,18h 10m 31.53s,"+54° 17' 09.4""",163
,15h 22m 37.25s,"+62° 02' 49.8""",461
,12h 58m 47.30s,"+75° 28' 20.9""",477
,17h 41m 21.81s,"+51° 49' 05.5""",332
,18h 39m 52.81s,"+52° 11' 45.7""",563
HD 113337,13h 01m 47.15s,"+63° 36' 36.6""",122
,18h 44m 18.27s,"+61° 02' 53.1""",364
,16h 59m 21.57s,"+56° 41' 18.6""",297
,19h 21m 40.24s,"+79° 36' 10.4""",309
,19h 31m 00.29s,"+70° 59' 21.3""",623
,18h 36m 13.25s,"+65° 29' 18.7""",234
,09h 47m 18.14s,"+79° 08' 12.2""",416
,17h 55m 23.62s,"+55° 58' 15.9""",184
,14h 30m 46.30s,"+63° 11' 08.7""",103
,18h 40m 56.40s,"+62° 44' 57.6""",383
,17h 02m 15.78s,"+64° 36' 02.4""",360
40 Dra,18h 00m 03.37s,"+80° 00' 01.9""",166
,18h 48m 16.09s,"+48° 46' 02.8""",183
,17h 33m 31.60s,"+57° 33' 31.4""",755
,19h 58m 28.74s,"+63° 32' 03.1""",430
,17h 01m 16.98s,"+60° 38' 55.2""",353
,18h 24m 09.18s,"+83° 10' 31.6""",548
,16h 36m 54.99s,"+63° 04' 22.9""",487
,10h 59m 57.02s,"+77° 46' 12.8""",553
,16h 42m 58.40s,"+55° 41' 23.7""",295
,18h 43m 29.01s,"+53° 52' 18.5""",1199
,16h 03m 09.37s,"+59° 24' 38.9""",883
,20h 29m 02.82s,"+83° 37' 31.7""",277
,09h 27m 51.63s,"+75° 05' 53.9""",474
,13h 16m 28.66s,"+68° 24' 28.7""",458
69 Dra,19h 59m 36.69s,"+76° 28' 53.5""",525
,16h 12m 25.38s,"+67° 08' 39.4""",486
,17h 30m 43.56s,"+57° 52' 36.7""",1156
UX Dra,19h 21m 35.53s,"+76° 33' 34.6""",1863
,20h 30m 00.72s,"+72° 31' 54.3""",682
DL Dra,14h 42m 03.16s,"+61° 15' 43.2""",139
,18h 53m 46.29s,"+57° 29' 11.7""",631
,20h 04m 44.51s,"+63° 53' 24.4""",256
,09h 45m 30.96s,"+78° 08' 05.0""",1012
HD 164428,17h 50m 10.10s,"+78° 18' 23.5""",891
ER Dra,14h 31m 42.87s,"+60° 13' 32.1""",416
,18h 44m 55.39s,"+54° 53' 49.9""",967
55 Dra,19h 09m 45.80s,"+65° 58' 42.4""",321
,16h 31m 28.30s,"+72° 36' 43.9""",438
65 Dra,20h 02m 20.16s,"+64° 38' 03.8""",335
,18h 43m 10.34s,"+70° 47' 34.3""",610
DK Dra,12h 15m 41.51s,"+72° 33' 04.5""",450
,16h 56m 16.74s,"+73° 07' 40.5""",317
,17h 10m 30.65s,"+52° 24' 31.6""",424
,18h 19m 56.10s,"+51° 20' 52.6""",410
,19h 33m 10.06s,"+60° 09' 31.2""",1203
,12h 25m 06.38s,"+63° 48' 10.0""",516
,15h 55m 49.66s,"+58° 54' 42.2""",465
,16h 28m 43.41s,"+51° 24' 27.8""",391
,18h 06m 53.47s,"+50° 49' 21.4""",386
,15h 29m 21.13s,"+62° 05' 58.4""",681
VW Dra,17h 16m 29.45s,"+60° 40' 14.1""",482
,18h 58m 59.40s,"+50° 48' 32.9""",432
,19h 58m 41.78s,"+70° 22' 00.5""",421
,20h 04m 53.41s,"+68° 01' 37.9""",1116
,12h 26m 24.47s,"+71° 55' 47.6""",389
,16h 09m 02.92s,"+57° 56' 16.1""",401
,17h 36m 40.03s,"+69° 34' 16.5""",139
,18h 53m 33.20s,"+75° 47' 14.4""",876
,12h 09m 47.09s,"+74° 39' 40.9""",235
,14h 01m 50.70s,"+68° 40' 43.3""",592
CN Dra,19h 46m 44.66s,"+68° 26' 16.8""",525
,18h 23m 47.95s,"+53° 18' 03.1""",340
,19h 02m 07.04s,"+52° 15' 40.1""",642
,19h 26m 26.46s,"+62° 33' 25.4""",682
,09h 37m 56.29s,"+73° 04' 49.6""",227
,13h 50m 59.40s,"+68° 18' 55.6""",310
,16h 18m 09.81s,"+68° 33' 16.0""",594
,17h 54m 26.75s,"+75° 10' 16.4""",479
,18h 21m 07.15s,"+49° 43' 31.5""",668
20 Dra,16h 56m 25.32s,"+65° 02' 20.6""",219
,18h 45m 38.06s,"+79° 56' 33.0""",288
,16h 59m 02.57s,"+69° 11' 10.9""",284
,16h 09m 26.01s,"+55° 49' 44.1""",438
,18h 27m 42.09s,"+59° 32' 56.5""",365
,12h 58m 18.87s,"+64° 55' 31.8""",832
,15h 26m 32.17s,"+54° 01' 13.2""",363
,17h 25m 00.90s,"+67° 18' 24.1""",42
,15h 28m 56.83s,"+55° 11' 41.5""",299
,15h 39m 09.52s,"+57° 55' 27.9""",443
,16h 28m 21.17s,"+67° 02' 38.4""",689
,19h 05m 09.85s,"+49° 55' 23.4""",583
,09h 36m 06.79s,"+74° 19' 08.0""",447
,14h 34m 15.70s,"+57° 03' 57.0""",95
,17h 08m 17.08s,"+50° 50' 32.0""",689
