Name,RA,Dec,Dist. (ly)
Achernar,01h 37m 42.75s,"?57° 14' 12.0""",144
? Eri,05h 07m 51.03s,"?05° 05' 10.5""",89
?1 Eri,02h 58m 15.72s,"?40° 18' 17.0""",161
? Eri,03h 58m 01.73s,"?13° 30' 29.7""",221
? Eri,03h 43m 14.96s,"?09° 45' 54.7""",29
?4 Eri,04h 17m 53.62s,"?33° 47' 54.0""",178
? Eri,02h 16m 30.50s,"?51° 30' 43.6""",155
? Eri,01h 55m 56.83s,"?51° 36' 34.5""",57
?4 Eri,03h 19m 30.97s,"?21° 45' 28.6""",258
? Eri,03h 32m 56.42s,"?09° 27' 29.9""",10
?2 Eri,04h 35m 33.07s,"?30° 33' 44.3""",209
53 Eri,04h 38m 10.87s,"?14° 18' 12.9""",109
? Eri,02h 56m 25.60s,"?08° 53' 51.4""",133
? Eri,04h 36m 19.14s,"?03° 21' 08.8""",586
?3 Eri,04h 24m 02.17s,"?34° 01' 01.2""",273
? Eri,04h 45m 30.14s,"?03° 15' 16.6""",532
?1 Eri,04h 11m 51.93s,"?06° 50' 16.0""",125
?3 Eri,03h 02m 23.59s,"?23° 37' 27.6""",86
? Eri,02h 40m 39.93s,"?39° 51' 19.1""",145
HD 24160,03h 49m 27.28s,"?36° 12' 00.4""",210
?6 Eri,03h 46m 50.99s,"?23° 14' 54.4""",58
? Eri,02h 26m 59.10s,"?47° 42' 13.8""",528
? Eri,05h 09m 08.78s,"?08° 45' 14.7""",1753
82 G. Eri[3],03h 19m 53.22s,"?43° 04' 17.6""",20
?5 Eri,03h 33m 47.25s,"?21° 37' 58.1""",296
HD 24071,03h 48m 35.82s,"?37° 37' 12.5""",173
54 Eri,04h 40m 26.49s,"?19° 40' 16.5""",361
?2 Eri,02h 58m 16.30s,"?40° 18' 16.0""",161
? Eri,04h 52m 53.68s,"?05° 27' 09.9""",227
? Eri,03h 46m 08.50s,"?12° 06' 06.2""",497
40 Eri A,04h 15m 17.64s,"?07° 38' 40.4""",16
32 Eri A,03h 54m 17.49s,"?02° 57' 17.0""",345
?1 Eri,02h 45m 05.98s,"?18° 34' 21.5""",46
?1 Eri,04h 33m 30.63s,"?29° 45' 57.0""",124
HD 22663,03h 37m 05.68s,"?40° 16' 28.2""",219
HD 23319,03h 42m 50.12s,"?37° 18' 48.0""",178
?9 Eri,03h 59m 55.48s,"?24° 00' 58.5""",331
