Name,RA,Dec,Dist. (ly)
? For,03h 12m 04.28s,"?28° 59' 20.8""",46
? For,02h 49m 05.36s,"?32° 24' 22.6""",169
? For,02h 04m 29.43s,"?29° 17' 48.6""",361
? For,02h 33m 50.71s,"?28° 13' 56.4""",453
? For,03h 42m 14.90s,"?31° 56' 18.2""",733
? For,02h 28m 01.69s,"?33° 48' 39.8""",153
? For,02h 22m 32.42s,"?23° 48' 58.7""",71
? For,02h 12m 54.46s,"?30° 43' 25.8""",332
? For,02h 01m 14.80s,"?30° 00' 05.6""",278
?2 For,02h 49m 54.15s,"?27° 56' 31.3""",554
?3 For,02h 50m 40.40s,"?35° 40' 32.6""",531
? For,03h 47m 56.02s,"?30° 10' 02.4""",282
AI For,03h 19m 34.90s,"?24° 07' 22.2""",1173
? For,02h 59m 36.07s,"?25° 16' 27.6""",105
?2 For,03h 27m 33.37s,"?35° 40' 52.8""",464
?1 For,02h 36m 09.28s,"?30° 02' 41.9""",649
?2 For,02h 36m 58.62s,"?34° 34' 38.4""",83
?2 For,02h 38m 18.60s,"?30° 11' 38.0""",116
? For,03h 01m 37.45s,"?28° 05' 25.7""",99
?1 For,02h 33m 07.04s,"?34° 38' 59.7""",380
? For,03h 46m 27.42s,"?29° 20' 17.4""",329
?2 For,02h 50m 14.75s,"?35° 50' 37.3""",500
? For,02h 53m 34.35s,"?38° 26' 13.5""",194
HD 20606,03h 18m 02.49s,"?28° 47' 49.3""",202
HD 21430,03h 26m 22.52s,"?27° 19' 03.4""",434
HD 16975,02h 42m 06.59s,"?38° 23' 01.4""",380
? For,03h 38m 47.66s,"?27° 56' 35.2""",417
HD 11643,01h 53m 23.08s,"?38° 35' 40.9""",378
HD 15471,02h 28m 35.46s,"?31° 06' 08.6""",370
?1 For,02h 49m 50.99s,"?24° 33' 36.0""",363
HD 18650,02h 59m 06.49s,"?28° 54' 25.5""",339
HD 20176,03h 13m 37.94s,"?29° 48' 14.8""",452
HD 19545,03h 07m 50.80s,"?27° 49' 52.0""",188
HD 22262,03h 33m 56.81s,"?31° 04' 49.1""",138
HD 17168,02h 44m 20.52s,"?32° 31' 28.8""",349
HD 20293,03h 15m 00.28s,"?26° 06' 01.5""",548
HD 15889,02h 32m 14.72s,"?36° 25' 38.4""",421
HD 18466,02h 57m 12.91s,"?29° 51' 19.0""",471
HD 20144,03h 13m 01.49s,"?35° 56' 37.3""",479
HD 12596,02h 02m 51.76s,"?23° 53' 11.6""",959
HD 18735,02h 59m 38.30s,"?32° 30' 26.0""",413
HD 11050,01h 47m 47.77s,"?37° 09' 34.3""",557
HD 14412,02h 18m 58.65s,"?25° 56' 48.4""",41
HD 11183,01h 49m 19.36s,"?31° 04' 20.7""",444
HD 20980,03h 22m 16.28s,"?25° 35' 16.1""",450
HD 11262,01h 49m 48.86s,"?38° 24' 12.5""",88
HD 12135,01h 58m 26.68s,"?33° 04' 00.3""",346
HD 10863,01h 46m 00.99s,"?27° 20' 55.4""",141
HD 17926,02h 51m 56.16s,"?30° 48' 53.2""",105
HD 21997,03h 31m 53.61s,"?25° 36' 50.8""",241
?1 For,03h 25m 55.82s,"?35° 55' 15.1""",326
HD 22322,03h 34m 33.58s,"?31° 52' 29.3""",1381
HD 12563,02h 02m 28.27s,"?29° 39' 56.4""",452
HD 20853,03h 20m 45.18s,"?26° 36' 23.6""",158
HD 18546,02h 57m 32.63s,"?38° 11' 27.4""",362
HD 14988,02h 24m 20.10s,"?25° 50' 51.0""",536
HD 14890,02h 23m 06.60s,"?37° 34' 33.8""",1173
HD 13305,02h 09m 34.82s,"?24° 20' 44.5""",203
HD 16589,02h 38m 24.75s,"?37° 59' 25.4""",174
HD 22333,03h 34m 52.37s,"?25° 34' 58.5""",599
?3 For,03h 28m 11.50s,"?35° 51' 12.3""",362
TY For,02h 30m 13.67s,"?25° 11' 11.5""",347
?1 For,02h 47m 33.78s,"?35° 33' 01.9""",619
TZ For,03h 14m 40.09s,"?35° 33' 27.6""",567
HD 20782,03h 20m 03.58s,"?28° 51' 14.7""",117
R For,02h 29m 15.31s,"?26° 05' 55.7""",2250
UX For,02h 43m 35.57s,"?37° 55' 42.5""",132.6
HD 20707,03h 18m 52.95s,"?36° 07' 37.54""",344
HD 13167,02h 08m 13.8s,"?24° 41' 43""",488
HD 20781,03h 20m 03s,"?28° 47' 02""",115
HD 11231,01h 49m 38.0s,"?34° 27' 33""",437
HD 20706,03h 19m 20.52s,"?24° 48' 09.52""",2480
AK For,03h 29m 23s,"?24° 06' 04""",101.6
WASP-72,02h 44m 9.6s,"?30° 10' 09""",
HD 20868,03h 20m 42.69s,"?33° 43' 48.4""",159
HIP 13044,02h 47m 37s,"?36° 06' 27""",2286
UZ For,03h 35m 28.64s,"?25° 44' 21.8""",
LP 944-20,03h 39m 35.22s,"?35° 25' 44.09""",20.9
UDF 2457,03h 32m 38.79s,"?27° 48' 10.0""",59000
