Name,RA,Dec,Dist. (ly)
? Gru,22h 08m 13.88s,"?46° 57' 38.2""",101
? Gru,22h 42m 39.93s,"?46° 53' 04.4""",170
? Gru,21h 53m 55.65s,"?37° 21' 53.4""",203
? Gru,22h 48m 33.20s,"?51° 19' 00.1""",130
? Gru,23h 10m 21.43s,"?45° 14' 47.9""",185
?1 Gru,22h 29m 16.15s,"?43° 29' 44.0""",296
? Gru,23h 00m 52.87s,"?52° 45' 14.8""",112
?2 Gru,22h 29m 45.45s,"?43° 44' 57.2""",325
? Gru,23h 06m 52.77s,"?43° 31' 13.2""",133
? Gru,22h 06m 06.90s,"?39° 32' 35.0""",247
?1 Gru,22h 15m 36.88s,"?41° 20' 48.3""",262
? Gru,22h 43m 29.97s,"?41° 24' 50.8""",222
? Gru,22h 45m 37.85s,"?53° 30' 00.6""",394
?2 Gru,22h 16m 26.57s,"?41° 37' 37.9""",240
? Gru,21h 32m 05.86s,"?41° 10' 45.6""",383
HD 211415,22h 18m 15.18s,"?53° 37' 31.9""",44
? Gru,23h 04m 39.57s,"?53° 57' 52.7""",390
HD 216149,22h 51m 02.15s,"?39° 09' 24.5""",1105
HD 208321,21h 56m 22.79s,"?37° 15' 13.1""",315
? Gru,22h 28m 39.18s,"?39° 07' 53.0""",262
HD 208737,21h 59m 17.88s,"?38° 23' 42.3""",393
HD 215405,22h 45m 40.81s,"?46° 32' 50.3""",664
? Gru,23h 26m 36.54s,"?52° 43' 18.9""",104
? Gru,23h 18m 09.79s,"?40° 49' 26.6""",113
HD 204960,21h 33m 23.53s,"?44° 50' 55.3""",622
HD 207129,21h 48m 15.61s,"?47° 18' 10.4""",51
?2 Gru,22h 23m 07.79s,"?45° 55' 42.0""",132
? Gru,23h 06m 53.60s,"?38° 53' 32.3""",294
HD 217403,23h 01m 07.50s,"?50° 57' 00.1""",481
?3 Gru,22h 56m 47.82s,"?47° 58' 09.2""",272
HD 220440,23h 24m 13.24s,"?51° 53' 27.9""",552
HD 219263,23h 14m 58.53s,"?41° 06' 18.5""",234
HD 217842,23h 03m 59.63s,"?41° 28' 44.5""",301
HD 218269,23h 07m 14.81s,"?50° 41' 11.8""",130
HD 218630,23h 09m 57.64s,"?42° 51' 40.2""",113
?2 Gru,22h 36m 58.82s,"?40° 35' 27.1""",219
DL Gru,23h 10m 09.72s,"?40° 35' 29.2""",799
HD 219507,23h 16m 39.79s,"?44° 29' 20.9""",288
HD 214953,22h 42m 36.88s,"?47° 12' 36.0""",77
S Gru,22h 26m 05.47s,"?48° 26' 18.8""",1450
?1 Gru,22h 53m 37.74s,"?48° 35' 53.1""",109
HD 220003,23h 20m 50.13s,"?50° 18' 23.0""",294
HD 214987,22h 42m 43.05s,"?44° 14' 53.2""",320
HD 211053,22h 15m 35.03s,"?44° 27' 05.4""",583
HD 220401,23h 23m 45.41s,"?43° 07' 28.0""",1116
HD 220392,23h 23m 54.45s,"?53° 48' 31.2""",480
BZ Gru,21h 57m 02.14s,"?37° 44' 48.7""",440
HD 210918,22h 14m 38.21s,"?41° 22' 47.1""",72
HD 206642,21h 44m 29.41s,"?38° 33' 07.7""",782
?1 Gru,22h 36m 29.27s,"?40° 34' 57.0""",226
HD 205096,21h 34m 17.18s,"?42° 55' 28.8""",323
HD 218255,23h 07m 09.43s,"?49° 36' 22.1""",1304
HD 216666,22h 55m 14.87s,"?36° 23' 18.9""",723
?1 Gru,22h 22m 44.18s,"?45° 56' 52.5""",498
HD 210204,22h 09m 57.82s,"?48° 06' 27.0""",686
HD 217642,23h 02m 34.07s,"?36° 25' 14.9""",415
HD 215504,22h 46m 28.22s,"?49° 41' 06.4""",760
HD 219531,23h 16m 49.85s,"?41° 11' 40.0""",489
HD 215456,22h 46m 08s,"?48° 58' 4""",124
?2 Gru,22h 55m 16.19s,"?48° 29' 30.8""",152
?2 Gru,22h 55m 16.35s,"?48° 27' 57.4""",151
HD 213240,22h 31m 00.37s,"?49° 25' 59.8""",133
HD 208487,21h 57m 19.85s,"?37° 45' 49.0""",143
HD 217522,23h 01m 46.82s,"?44° 50' 26.9""",287.0
RS Gru,21h 43m 04.22s,"?48° 11' 22.2""",776
Gliese 832,21h 33m 33.98s,"?49° 00' 32.4""",16.1
W Gru,22h 41m 18.67s,"?43° 50' 28.6""",1140
WASP-95,22h 29m 50.0s,"?48° 00' 11""",
BC Gru,22h 44m 49.11s,"?48° 10' 13.0""",
U Gru,21h 31m 48.77s,"?45° 02' 42.5""",
RZ Gru,22h 47m 12.01s,"?42° 44' 38.72""",
CE Gru,21h 37m 56.38s,"?43° 42' 13.1""",
PSR J2144-3933,21h 44m 12.0s,"?39° 33' 55.2""",
