Name,RA,Dec,Dist. (ly)
Regulus,10h 08m 22.46s,"+11° 58' 01.9""",77
Denebola,11h 49m 03.88s,"+14° 34' 20.4""",36
?1 Leo,10h 19m 58.16s,"+19° 50' 30.7""",126
? Leo,11h 14m 06.41s,"+20° 31' 26.5""",58
? Leo,09h 45m 51.10s,"+23° 46' 27.4""",251
? Leo,11h 14m 14.44s,"+15° 25' 47.1""",178
? Leo,10h 16m 41.40s,"+23° 25' 02.4""",260
? Leo,10h 07m 19.95s,"+16° 45' 45.6""",2131
? Leo A,09h 41m 09.12s,"+09° 53' 32.6""",135
? Leo B,09h 41m 13.40s,"+09° 54' 35.0""",
?2 Leo,10h 19m 58.60s,"+19° 50' 26.0""",
? Leo,10h 32m 48.68s,"+09° 18' 23.7""",5719
? Leo,09h 52m 45.96s,"+26° 00' 25.5""",133
? Leo,11h 23m 55.37s,"+10° 31' 46.9""",79
? Leo,11h 21m 08.25s,"+06° 01' 45.7""",214
54 Leo,10h 55m 36.85s,"+24° 44' 59.1""",289
? Leo,11h 36m 56.93s,"?00° 49' 25.9""",178
? Leo,09h 31m 43.24s,"+22° 58' 05.0""",336
31 Leo,10h 07m 54.32s,"+09° 59' 51.6""",274
60 Leo,11h 02m 19.78s,"+20° 10' 47.1""",124
? Leo,11h 16m 39.76s,"?03° 39' 05.5""",195
? Leo,09h 24m 39.28s,"+26° 10' 56.8""",213
93 Leo,11h 47m 59.23s,"+20° 13' 08.2""",226
72 Leo,11h 15m 12.24s,"+23° 05' 43.9""",6653
? Leo,11h 05m 01.23s,"+07° 20' 10.0""",94
? Leo,10h 00m 12.82s,"+08° 02' 39.4""",525
61 Leo,11h 01m 49.67s,"?02° 29' 04.2""",514
87 Leo,11h 30m 18.88s,"?03° 00' 12.5""",604
40 Leo,10h 19m 44.31s,"+19° 28' 17.2""",69
58 Leo,11h 00m 33.64s,"+03° 37' 03.1""",342
? Leo,11h 27m 56.23s,"+02° 51' 22.6""",621
59 Leo,11h 00m 44.83s,"+06° 06' 05.4""",151
? Leo,09h 31m 56.79s,"+11° 18' 00.1""",238
10 Leo,09h 37m 12.71s,"+06° 50' 08.8""",226
6 Leo,09h 31m 57.58s,"+09° 42' 56.9""",482
48 Leo,10h 34m 48.07s,"+06° 57' 13.0""",319
75 Leo,11h 17m 17.37s,"+02° 00' 39.3""",408
? Leo,09h 58m 13.39s,"+12° 26' 41.4""",529
92 Leo,11h 40m 47.11s,"+21° 21' 10.2""",232
22 Leo,09h 51m 53.02s,"+24° 23' 44.9""",131
73 Leo,11h 15m 51.90s,"+13° 18' 27.3""",478
53 Leo,10h 49m 15.43s,"+10° 32' 42.9""",334
? Leo,09h 43m 43.90s,"+14° 01' 18.1""",713
79 Leo,11h 24m 02.34s,"+01° 24' 27.9""",365
? Leo,09h 28m 27.38s,"+09° 03' 24.4""",112
69 Leo,11h 13m 45.58s,"?00° 04' 10.2""",477
37 Leo,10h 16m 40.75s,"+13° 43' 42.1""",499
46 Leo,10h 32m 11.80s,"+14° 08' 14.0""",1083
HD 94402,10h 53m 43.76s,"?02° 07' 45.3""",312
52 Leo,10h 46m 25.35s,"+14° 11' 41.3""",287
51 Leo,10h 46m 24.49s,"+18° 53' 29.8""",178
65 Leo,11h 06m 54.43s,"+01° 57' 20.6""",203
95 Leo,11h 55m 40.53s,"+15° 38' 48.5""",560
86 Leo,11h 30m 29.08s,"+18° 24' 35.1""",325
,09h 36m 42.85s,"+31° 09' 42.6""",475
81 Leo,11h 25m 36.46s,"+16° 27' 23.6""",154
44 Leo,10h 25m 15.19s,"+08° 47' 05.8""",704
15 Leo,09h 43m 33.27s,"+29° 58' 29.0""",159
18 Leo,09h 46m 23.34s,"+11° 48' 36.0""",701
TX Leonis,10h 35m 02.19s,"+08° 39' 01.6""",462
EO Leo,10h 02m 48.96s,"+21° 56' 57.4""",1583
67 Leo,11h 08m 49.08s,"+24° 39' 30.4""",408
3 Leo,09h 28m 29.19s,"+08° 11' 18.1""",518
8 Leo,09h 37m 02.59s,"+16° 26' 16.7""",953
85 Leo,11h 29m 41.86s,"+15° 24' 48.2""",435
,09h 59m 36.28s,"+29° 38' 43.2""",324
89 Leo,11h 34m 22.06s,"+03° 03' 37.5""",87
36 G. Leo,11h 14m 01.81s,"+08° 03' 39.4""",223
5 G. Leo,09h 46m 10.04s,"+06° 42' 31.0""",1042
,11h 24m 58.99s,"+11° 25' 49.1""",468
,11h 36m 17.94s,"+27° 46' 52.7""",234
39 Leo,10h 17m 14.80s,"+23° 06' 23.2""",74
,10h 16m 41.84s,"+25° 22' 14.5""",315
10 Sex,09h 56m 26.03s,"+08° 55' 59.2""",674
DR Leo,09h 41m 35.11s,"+31° 16' 40.2""",942
76 Leo,11h 18m 54.98s,"+01° 39' 01.9""",311
,11h 48m 38.77s,"+14° 17' 03.1""",242
55 Leo,10h 55m 42.34s,"+00° 44' 13.0""",143
56 Leo,10h 56m 01.48s,"+06° 11' 07.4""",325
35 Leo,10h 16m 32.42s,"+23° 30' 10.8""",99
62 Leo,11h 03m 36.63s,"?00° 00' 03.0""",557
90 Leo,11h 34m 42.50s,"+16° 47' 48.9""",1988
45 Leo,10h 27m 38.99s,"+09° 45' 44.7""",385
R Leo,09h 47m 33.50s,"+11° 25' 44.0""",
,10h 14m 29.84s,"+21° 10' 05.6""",169
,11h 44m 13.17s,"+25° 13' 05.9""",929
11 Sex,09h 58m 07.62s,"+08° 18' 50.6""",539
,10h 13m 49.72s,"+27° 08' 09.0""",389
50 G. Leo,11h 23m 17.97s,"+00° 07' 55.4""",675
,11h 49m 14.77s,"+16° 14' 34.8""",204
43 Leo,10h 23m 00.46s,"+06° 32' 34.4""",229
20 Leo,09h 49m 50.12s,"+21° 10' 46.0""",514
20 G. Leo,10h 53m 25.04s,"?02° 15' 18.0""",261
30 G. Leo,11h 03m 14.55s,"?00° 45' 07.4""",178
,10h 27m 00.52s,"+19° 21' 52.4""",329
42 Leo,10h 21m 50.32s,"+14° 58' 32.9""",476
,10h 56m 16.88s,"+22° 21' 06.0""",637
59 G. Leo,11h 27m 53.73s,"?01° 41' 59.8""",522
,09h 33m 59.17s,"+23° 27' 14.8""",509
13 Leo,09h 41m 38.50s,"+25° 54' 46.6""",541
,10h 44m 14.62s,"+19° 45' 32.0""",212
HD 97658,11h 14m 33s,"+25° 42' 37""",69
88 Leo,11h 31m 45.14s,"+14° 21' 53.9""",75
54 Leo,10h 55m 37.30s,"+24° 44' 56.0""",
,11h 11m 43.79s,"+14° 24' 00.7""",198
,09h 25m 32.55s,"+16° 35' 08.3""",272
19 G. Leo,10h 52m 36.10s,"?00° 12' 05.7""",830
7 Leo,09h 35m 52.91s,"+14° 22' 46.5""",510
80 Leo,11h 25m 50.10s,"+03° 51' 36.7""",200
,10h 05m 40.96s,"+15° 45' 27.1""",372
18 G. Leo,10h 52m 13.69s,"+01° 01' 29.9""",1045
,11h 50m 55.42s,"+12° 16' 44.3""",180
37 Sex,10h 46m 05.68s,"+06° 22' 23.8""",351
,11h 06m 44.01s,"+17° 44' 14.7""",769
6 LMi,09h 23m 31.85s,"+25° 10' 58.2""",679
,10h 19m 00.74s,"+24° 42' 43.6""",1173
34 Leo,10h 11m 38.19s,"+13° 21' 18.7""",225
67 G. Leo,11h 34m 58.93s,"?04° 21' 40.2""",616
19 Leo,09h 47m 25.99s,"+11° 34' 05.4""",293
23 Leo,09h 51m 01.97s,"+13° 03' 58.5""",1852
HD 100655,11h 35m 03.79s,"+20° 26' 29.6""",459
HN Leo,09h 58m 26.12s,"+27° 45' 32.6""",218
64 Leo,11h 07m 39.72s,"+23° 19' 25.5""",246
,09h 44m 30.00s,"+18° 51' 49.1""",464
,09h 47m 22.20s,"+23° 38' 51.7""",643
83 Leo A,11h 26m 45.75s,"+03° 00' 45.6""",58
,11h 33m 36.33s,"+02° 29' 56.7""",1254
,09h 33m 18.32s,"+28° 22' 04.9""",300
18 LMi,09h 56m 31.36s,"+32° 23' 04.6""",165
9 Leo,09h 37m 49.96s,"+24° 40' 13.1""",225
11 Leo,09h 38m 01.31s,"+14° 20' 50.8""",210
57 Leo,10h 56m 10.53s,"+00° 25' 58.6""",746
52 LMi,11h 07m 04.91s,"+25° 32' 13.8""",181
71 Leo,11h 22m 29.02s,"+17° 26' 13.4""",773
HD 89307,10h 18m 21.28s,"+12° 37' 16.0""",101
38 Sex,10h 47m 19.16s,"+06° 20' 46.4""",311
49 LMi,10h 55m 56.09s,"+18° 09' 10.8""",631
83 Leo B,11h 26m 46.28s,"+03° 00' 22.8""",59
HD 94834,10h 57m 15.1s,"+24° 08' 34""",264
HD 81040,09h 23m 47.09s,"+20° 21' 52.0""",106
HD 87646,10h 58m 47.74s,"+01° 43' 45.2""",486
HD 95089,10h 06m 40.8s,"+17° 53' 42""",
HD 83225,09h 37m 17.3s,"+15° 15' 09.2""",345
HD 88133,10h 10m 07.68s,"+18° 11' 12.7""",243
HD 96063,11h 04m 44 s,"?02° 30' 48""",515
HD 100777,11h 35m 51.53s,"?04° 45' 20.5""",172
HD 98736,11h 21m 49.0s,"+18° 11' 24""",101
HD 102272,11h 46m 23.54s,"+14° 07' 26.3""",1200
HD 99109,11h 24m 17.0s,"?01° 31' 44""",197
AD Leo,10h 19m 36.277s,"+19° 52' 12.06""",16.1
HD 89345,10h 18m 41.0s,"+10° 07' 45""",413
BD+20°2457,10h 16m 44.86s,"+19° 53' 29.0""",650
Gl 436,11h 42m 11.09s,"+26° 42' 23.7""",33
CW Leo,09h 47m 57.38s,"+13° 16' 43.6""",200
WASP-104,10h 42m 24.6s,"+07° 26' 06""",466
WASP-106,11h 05m 43.1s,"?05° 04' 46""",923
WASP-183,10h 55m 09.0s,"?00° 44' 14""",1070
Wolf 359,10h 56m 28.99s,"+07° 00' 52.0""",7.78
SDSS J102915+172927,10h 29m 15.15s,"+17° 29' 28""",4469
DP Leonis,11h 17m 16.00s,"+17° 57' 41.1""",1304
2MASS J09373487+2931409,09h 37m 34.9s,"+29° 31' 41""",20.0
2MASS J10475385+2124234,10h 47m 53.85s,"+21° 24' 23.47""",34
