Name,RA,Dec,Dist. (ly)
? Lep,05h 32m 43.81s,"?17° 49' 20.3""",1283
? Lep,05h 28m 14.73s,"?20° 45' 33.2""",159
? Lep,05h 05m 27.65s,"?22° 22' 15.1""",227
? Lep,05h 12m 55.87s,"?16° 12' 19.5""",184
? Lep,05h 46m 57.35s,"?14° 49' 19.0""",70
? Lep,05h 44m 27.97s,"?22° 26' 51.0""",29
? Lep,05h 56m 24.32s,"?14° 10' 04.9""",49
? Lep,05h 51m 19.15s,"?20° 52' 39.0""",112
? Lep,05h 19m 34.53s,"?13° 10' 36.4""",1076
? Lep,05h 13m 13.89s,"?12° 56' 28.6""",559
? Lep,05h 12m 17.89s,"?11° 52' 08.9""",241
? Lep,06h 06m 09.33s,"?14° 56' 07.0""",170
HD 34968,05h 20m 26.91s,"?21° 14' 23.1""",459
HD 32309,05h 01m 25.56s,"?20° 03' 06.8""",209
17 Lep,06h 04m 59.13s,"?16° 29' 03.9""",1069
HD 32436,05h 02m 09.77s,"?26° 16' 29.4""",242
HD 41312,06h 03m 15.56s,"?26° 17' 05.1""",388
HD 34310,05h 15m 24.37s,"?26° 56' 36.4""",272
HD 35162,05h 21m 46.27s,"?24° 46' 22.6""",294
8 Lep,05h 23m 30.16s,"?13° 55' 38.5""",1811
19 Lep,06h 07m 41.63s,"?19° 09' 57.6""",710
? Lep,05h 19m 59.03s,"?12° 18' 56.2""",332
HD 41841,06h 06m 32.10s,"?23° 06' 38.8""",475
HD 34538,05h 17m 40.25s,"?13° 31' 10.9""",158
HD 39070,05h 49m 36.55s,"?14° 29' 00.8""",310
HD 42301,06h 08m 57.87s,"?22° 25' 38.2""",255
10 Lep,05h 31m 07.62s,"?20° 51' 48.8""",272
HD 42341,06h 09m 34.53s,"?14° 35' 04.9""",212
RX Lep,05h 11m 22.85s,"?11° 50' 57.2""",447
HD 32667,05h 03m 53.26s,"?24° 23' 17.0""",196
HD 39853,05h 54m 43.59s,"?11° 46' 27.3""",746
HD 35505,05h 24m 28.47s,"?16° 58' 32.7""",220
HD 31925,04h 59m 01.44s,"?16° 22' 34.8""",141
HD 32890,05h 05m 16.19s,"?26° 09' 08.1""",240
HD 42443,06h 09m 47.91s,"?22° 46' 28.2""",176
HD 42621,06h 10m 34.69s,"?27° 09' 15.1""",331
HD 38206,05h 43m 21.66s,"?18° 33' 26.8""",226
1 Lep,05h 02m 44.94s,"?22° 47' 42.3""",524
YY Lep,06h 06m 57.52s,"?21° 48' 44.2""",931
HD 35736,05h 25m 59.82s,"?19° 41' 43.3""",140
HD 39190,05h 49m 53.51s,"?22° 58' 18.9""",610
12 Lep,05h 42m 13.96s,"?22° 22' 25.5""",765
HD 40151,05h 56m 14.20s,"?22° 50' 24.2""",292
HD 34721,05h 18m 50.24s,"?18° 07' 48.7""",81
HD 33093,05h 07m 24.88s,"?12° 29' 27.6""",118
HD 32996,05h 06m 36.73s,"?13° 07' 21.6""",363
HD 40972,06h 01m 13.11s,"?25° 25' 03.8""",363
HD 35991,05h 27m 36.49s,"?21° 22' 32.8""",380
HD 42729,06h 11m 13.66s,"?26° 28' 55.6""",675
HD 37306,05h 37m 08.76s,"?11° 46' 31.7""",215
HD 38054,05h 42m 14.49s,"?17° 31' 49.4""",597
HD 38392,05h 44m 26.50s,"?22° 25' 18.0""",
HD 39385,05h 51m 28.62s,"?22° 55' 36.6""",443
HD 38713,05h 47m 07.81s,"?16° 14' 17.0""",664
HD 41125,06h 02m 33.81s,"?14° 29' 49.9""",434
HD 40745,06h 00m 17.66s,"?12° 53' 59.7""",195
HD 34045,05h 13m 59.94s,"?14° 36' 24.7""",245
HD 37971,05h 41m 41.51s,"?16° 43' 33.0""",1221
HD 42486,06h 09m 47.16s,"?26° 42' 04.0""",435
HD 35850,05h 27m 04.75s,"?11° 54' 03.0""",87
HD 33162,05h 07m 49.82s,"?12° 35' 32.8""",763
HD 38382,05h 44m 28.41s,"?20° 07' 36.0""",83
HD 42327,06h 09m 20.20s,"?18° 07' 34.8""",410
HD 34798,05h 19m 17.44s,"?18° 31' 11.8""",791
HD 40235,05h 56m 34.43s,"?23° 12' 55.4""",499
HD 33238,05h 08m 13.26s,"?15° 05' 43.3""",710
HD 33667,05h 10m 44.59s,"?25° 54' 37.9""",724
HD 37643,05h 39m 16.23s,"?17° 50' 57.9""",1304
HD 32612,05h 03m 52.12s,"?14° 22' 12.9""",1320
HD 34318,05h 16m 10.56s,"?11° 21' 09.2""",838
HD 33095,05h 07m 09.78s,"?19° 23' 33.1""",123
HD 35137,05h 21m 55.31s,"?17° 36' 13.1""",461
HD 35386,05h 23m 11.98s,"?26° 42' 19.8""",171
HD 34797,05h 19m 18.31s,"?18° 30' 34.4""",799
S Lep,06h 05m 45.54s,"?24° 11' 43.9""",898
HD 42659,06h 11m 21.75s,"?15° 47' 35.0""",429
4 Mon,06h 08m 25.39s,"?11° 08' 46.6""",342
HD 37847,05h 40m 39.72s,"?20° 17' 55.6""",720
HD 33844,05h 12m 36.08s,"?14° 57' 04.27""",329
T Lep,05h 04m 50.85s,"?21° 54' 16.5""",2670
HD 31527,04h 55m 38s,"?23° 14' 31""",126
R Lep,04h 59m 36.50s,"?14° 48' 21.0""",1350
HD 33283,05h 08m 01.01s,"?26° 47' 50.9""",282
HD 33142,05h 07m 36s,"?13° 59' 11""",411
Gliese 229,06h 10m 34.62s,"?21° 51' 52.7""",19
RY Lep,05h 48m 10.25s,"?20° 01' 25.0""",647
HD 32450,05h 02m 28.42s,"?21° 15' 23.9""",27961
RS Lep,05h 59m 18.42s,"?20° 13' 25.1""",
U Lep,04h 56m 17.99s,"?21° 13' 02.0""",1910
WASP-61,05h 01m 12.0s,"?26° 03' 15""",1566
WASP-49,06h 04m 21.47s,"?16° 57' 55""",638
