Name,RA,Dec,Dist. (ly)
? Lib,15h 17m 00.47s,"?09° 22' 58.3""",160
?2 Lib,14h 50m 52.78s,"?16° 02' 29.8""",77
? Lib,15h 04m 04.26s,"?25° 16' 54.7""",292
? Lib,15h 37m 01.46s,"?28° 08' 06.3""",195
? Lib,15h 38m 39.38s,"?29° 46' 39.7""",445
? Lib,15h 35m 31.54s,"?14° 47' 22.4""",152
? Lib,15h 53m 49.48s,"?16° 43' 46.6""",163
16 Lib,14h 57m 11.06s,"?04° 20' 45.9""",91
?1 Lib,15h 12m 13.31s,"?19° 47' 29.9""",376
37 Lib,15h 34m 10.52s,"?10° 03' 50.3""",94
? Lib,15h 41m 56.82s,"?19° 40' 42.9""",400
? Lib,15h 00m 58.39s,"?08° 31' 08.2""",304
? Lib,15h 24m 11.93s,"?10° 19' 18.8""",106
11 Lib,14h 51m 01.02s,"?02° 17' 55.9""",216
48 Lib,15h 58m 11.38s,"?14° 16' 45.5""",513
42 Lib,15h 40m 16.91s,"?23° 49' 05.0""",381
? Lib,15h 53m 20.06s,"?20° 10' 01.2""",356
36 Lib,15h 34m 37.31s,"?28° 02' 48.9""",369
?1 Lib,14h 50m 41.26s,"?15° 59' 49.5""",77
HR 5780,15h 34m 26.53s,"?09° 11' 00.1""",351
? Lib,15h 06m 37.62s,"?16° 15' 24.3""",765
12 Lib,14h 54m 20.14s,"?24° 38' 31.7""",384
? Lib,14h 49m 19.09s,"?14° 08' 56.3""",235
HD 126218,14h 24m 48.66s,"?24° 48' 22.6""",400
41 Lib,15h 38m 54.51s,"?19° 18' 06.2""",340
? Lib,15h 44m 04.42s,"?15° 40' 21.6""",147
49 Lib,16h 00m 19.98s,"?16° 31' 56.6""",107
?2 Lib,14h 56m 46.11s,"?11° 24' 35.0""",538
HD 138413,15h 32m 36.71s,"?19° 40' 13.3""",227
HD 132833,15h 01m 19.81s,"?02° 45' 17.5""",564
HD 135534,15h 16m 23.03s,"?22° 23' 57.9""",500
?4 Lib,15h 32m 55.23s,"?16° 51' 10.1""",769
30 Ser,15h 48m 56.81s,"?03° 49' 06.7""",160
50 Lib,16h 00m 47.64s,"?08° 24' 40.8""",459
HD 136479,15h 21m 07.64s,"?05° 49' 29.4""",269
?1 Lib,15h 28m 15.40s,"?16° 42' 59.1""",908
HD 130529,14h 49m 18.76s,"?24° 15' 05.3""",1113
4 Lib,14h 43m 13.57s,"?24° 59' 51.8""",409
Gliese 570,14h 57m 27.35s,"?21° 24' 55.7""",19
HD 136956,15h 23m 52.26s,"?12° 22' 09.9""",603
HD 134373,15h 10m 18.65s,"?26° 19' 57.4""",450
?1 Lib,14h 54m 22.91s,"?11° 53' 54.0""",365
HD 139254,15h 37m 48.06s,"?23° 08' 29.5""",272
HD 129944,14h 46m 06.75s,"?23° 09' 10.3""",366
?3 Lib,15h 30m 40.39s,"?16° 36' 34.0""",564
HD 139329,15h 38m 16.24s,"?21° 00' 58.2""",292
HD 135051,15h 13m 53.32s,"?26° 11' 36.8""",918
18 Lib,14h 58m 53.64s,"?11° 08' 37.9""",316
47 Lib,15h 55m 00.37s,"?19° 22' 58.4""",623
HD 130157,14h 47m 13.66s,"?21° 19' 29.6""",1863
?2 Lib,15h 13m 19.22s,"?19° 38' 50.8""",219
HD 132375,14h 58m 52.99s,"?04° 59' 20.4""",114
HD 142703,15h 56m 33.33s,"?14° 49' 45.7""",173
HD 133670,15h 06m 27.10s,"?22° 01' 54.1""",195
? Lib,15h 21m 01.36s,"?15° 32' 54.2""",178
HD 130557,14h 48m 54.10s,"?00° 50' 51.7""",353
28 Lib,15h 20m 53.68s,"?18° 09' 30.6""",631
26 Lib,15h 14m 33.77s,"?17° 46' 06.7""",1283
HD 139160,15h 37m 28.51s,"?26° 16' 47.3""",600
HD 128429,14h 36m 59.80s,"?12° 18' 19.1""",88
HD 138105,15h 30m 36.25s,"?20° 43' 42.5""",234
HD 141853,15h 51m 38.41s,"?14° 08' 00.8""",692
2 Lib,14h 23m 25.63s,"?11° 42' 50.0""",330
HD 140986,15h 46m 45.43s,"?06° 07' 13.3""",937
HD 138488,15h 33m 09.53s,"?24° 29' 25.2""",331
10 Lib,14h 51m 51.31s,"?18° 21' 19.2""",913
HD 135367,15h 14m 50.61s,"?05° 30' 09.3""",911
HD 138268,15h 31m 43.45s,"?20° 09' 53.4""",239
HD 140301,15h 43m 24.86s,"?15° 02' 34.8""",411
HD 139290,15h 38m 15.80s,"?28° 12' 23.8""",562
HD 142640,15h 56m 14.41s,"?14° 23' 57.2""",208
5 Lib,14h 45m 57.78s,"?15° 27' 34.4""",1109
HD 139518,15h 39m 21.39s,"?23° 09' 00.6""",306
HD 130325,14h 47m 54.92s,"?12° 50' 23.2""",361
HD 132953,15h 02m 08.59s,"?07° 34' 31.1""",580
22 Lib,15h 06m 49.10s,"?16° 29' 03.6""",413
HD 129980,14h 46m 10.92s,"?21° 10' 32.6""",138
HD 137798,15h 28m 58.69s,"?28° 52' 00.5""",198
23 Lib,15h 13m 28.93s,"?25° 18' 33.0""",84
HD 139461,15h 38m 40.07s,"?08° 47' 29.1""",81
30 Lib,15h 23m 01.78s,"?15° 08' 02.7""",780
HD 134946,15h 13m 17.43s,"?24° 00' 29.8""",412
HD 126251,14h 24m 40.90s,"?11° 40' 10.7""",293
HD 126363,14h 25m 17.63s,"?13° 21' 11.4""",520
HD 127964,14h 34m 50.72s,"?20° 26' 21.8""",613
HD 134758,15h 12m 12.04s,"?19° 06' 23.1""",555
HD 140722,15h 46m 12.89s,"?28° 03' 41.1""",222
HD 136646,15h 22m 45.19s,"?29° 20' 30.9""",443
HD 133112,15h 02m 44.9s,"?03° 01' 53""",323
17 Lib,14h 58m 13.42s,"?11° 09' 17.1""",376
33 Lib,15h 29m 34.78s,"?17° 26' 27.4""",291
HD 141569,15h 49m 57.75s,"?03° 55' 16.3""",379
3 Lib,14h 39m 22.01s,"?25° 01' 43.0""",663
HD 140283,15h 43m 03.10s,"?10° 56' 00.6""",190
FY Lib,14h 57m 46.55s,"?12° 26' 15.3""",1310
KU Lib,14h 40m 31.11s,"?16° 12' 33.4""",77
ES Lib,15h 16m 48.61s,"?13° 02' 21.1""",378
HD 141937,15h 52m 17.55s,"?18° 26' 09.8""",109
HD 134796,15h 12m 20.95s,"?16° 24' 39.86""",
HD 136905,15h 23m 26.06s,"?06° 36' 37.8""",378
HD 134214,15h 09m 02.41s,"?13° 59' 58.7""",335
HM Lib,15h 27m 48.32s,"?25° 10' 10.1""",1940
HD 134701,15h 11m 51.55s,"?16° 36' 40.16""",
HD 133803,15h 07m 15.0s,"?29° 30' 16""",408
HD 133131 A,15h 03m 35.8s,"?27° 50' 28""",
HD 133131 B,15h 03m 35.8s,"?27° 50' 28""",
HD 128598,14h 38m 11.78s,"?14° 57' 17.2""",3080
UZ Lib,15h 32m 23.21s,"?08° 32' 00.9""",525
HD 134440,15h 10m 12.97s,"?16° 27' 47.5""",93
EH Lib,14h 58m 55.92s,"?00° 56' 53.1""","1,197"
VZ Lib,15h 31m 51.76s,"?15° 41' 10.2""",667
Gliese 581,15h 19m 26.82s,"?07° 43' 20.2""",20
WASP-109,15h 28m 13.0s,"?16° 24' 39""",1076
HE 1523-0901,15h 26m 01.07s,"?09° 11' 38.9""",
HP Lib,15h 35m 53.08s,"?14° 13' 12.2""",
K2-315,15h 12m 5.06s,"?20° 06' 29.39""",185.3
2MASS 1507-1627,15h 07m 47.69s,"?16° 27' 38.6""",23.9
GW Lib,15h 19m 55.35s,"?25° 00' 24.5""",
WISE 1541-2250,15h 41m 51.66s,"?22° 50' 25.0""",18.6
IC 1059,14h 50m 42.54s,"?00° 52' 33.1""",
