Name,RA,Dec,Dist. (ly)
? Mon,07h 41m 14.88s,"?09° 33' 03.9""",144
? Mon,06h 14m 51.34s,"?06° 16' 29.0""",644
? Mon,07h 11m 51.86s,"?00° 29' 34.0""",375
? Mon,08h 08m 35.66s,"?02° 59' 01.6""",1852
? Mon A,06h 23m 46.10s,"+04° 35' 34.2""",128
13 Mon,06h 32m 54.23s,"+07° 19' 58.7""",1509
18 Mon,06h 47m 51.66s,"+02° 24' 43.9""",373
? Mon A,06h 28m 49.07s,"?07° 01' 59.0""",691
S Mon,06h 40m 58.66s,"+09° 53' 44.7""",1022
28 Mon,08h 01m 13.30s,"?01° 23' 32.7""",472
17 Mon,06h 47m 19.84s,"+08° 02' 14.2""",484
20 Mon,07h 10m 13.68s,"?04° 14' 15.5""",211
3 Mon,06h 01m 50.43s,"?10° 35' 52.6""",979
27 Mon,07h 59m 44.18s,"?03° 40' 46.5""",250
19 Mon,07h 02m 54.78s,"?04° 14' 21.3""",1116
2 Mon,05h 59m 04.31s,"?09° 33' 29.3""",328
HD 42690,06h 11m 51.82s,"?06° 33' 01.0""",1203
10 Mon,06h 27m 57.57s,"?04° 45' 43.7""",1353
HD 49331,06h 47m 37.22s,"?08° 59' 54.6""",1309
HD 46487,06h 33m 37.92s,"?01° 13' 12.4""",536
25 Mon,07h 37m 16.73s,"?04° 06' 39.7""",202
HR 2142,06h 04m 13.50s,"?06° 42' 32.2""",918
77 Ori,06h 27m 13.76s,"+00° 17' 57.4""",950
HD 48217,06h 41m 56.37s,"?09° 10' 02.7""",378
HD 52666,07h 01m 56.39s,"?05° 43' 19.5""",682
HD 46089,06h 31m 48.29s,"+11° 32' 39.6""",211
7 Mon,06h 19m 42.80s,"?07° 49' 22.5""",823
HD 43993,06h 18m 50.58s,"?09° 23' 23.9""",511
HD 41692,06h 06m 38.74s,"?04° 11' 37.8""",2131
? Mon B,06h 28m 49.50s,"?07° 02' 04.0""",
HD 46229,06h 31m 50.07s,"?08° 09' 29.5""",869
21 Mon,07h 11m 23.63s,"?00° 18' 06.9""",261
HD 50747,06h 54m 24.66s,"?01° 07' 37.1""",484
HD 62902,07h 46m 02.16s,"?06° 46' 20.2""",238
HD 47054,06h 36m 35.33s,"?05° 12' 40.0""",834
78 Ori,06h 27m 15.59s,"?00° 16' 33.6""",749
HD 45415,06h 27m 20.48s,"+02° 54' 29.7""",292
? Mon C,06h 28m 49.50s,"?07° 02' 04.0""",
HD 46304,06h 32m 23.13s,"?05° 52' 07.4""",141
HD 59311,07h 29m 18.68s,"?01° 54' 19.1""",1630
HD 63752,07h 50m 10.58s,"?09° 11' 00.4""",1405
HD 53208,07h 04m 05.25s,"?05° 19' 26.3""",1304
HD 49147,06h 46m 39.02s,"?10° 06' 26.5""",535
HD 49434,06h 48m 19.09s,"?01° 19' 07.8""",131
HD 49643,06h 49m 16.41s,"?02° 16' 19.3""",558
HD 50277,06h 52m 49.49s,"+08° 22' 49.6""",204
HD 59381,07h 29m 22.11s,"?10° 19' 36.0""",926
HD 64235,07h 52m 47.87s,"?05° 25' 41.5""",133
HD 46769,06h 35m 15.83s,"+00° 53' 24.8""",2860
HD 49933,06h 50m 49.82s,"?00° 32' 25.5""",97
HD 53510,07h 05m 39.00s,"+09° 11' 09.0""",562
HD 47964,06h 41m 05.45s,"+00° 29' 43.2""",1156
HD 55775,07h 14m 10.87s,"?03° 54' 06.3""",613
U Mon,07h 30m 47.47s,"?09° 46' 36.8""",2248
HD 43157,06h 14m 36.71s,"?04° 34' 06.5""",617
HD 57749,07h 22m 25.40s,"?05° 58' 58.1""",908
HD 59380,07h 29m 25.61s,"?07° 33' 05.3""",91
HD 45320,06h 26m 39.59s,"?01° 30' 26.2""",229
12 Mon,06h 32m 19.23s,"+04° 51' 21.6""",517
HD 41547,06h 05m 27.02s,"?10° 14' 33.6""",192
HD 45067,06h 25m 16.41s,"?00° 56' 43.3""",108
HD 48434,06h 43m 38.65s,"+03° 55' 57.1""",2850
HD 51104,06h 56m 25.84s,"+09° 57' 23.8""",561
HD 55832,07h 14m 15.52s,"?09° 56' 51.1""",2345
HD 59984,07h 32m 05.82s,"?08° 52' 51.3""",98
HD 45976,06h 30m 11.28s,"?10° 04' 53.4""",6269
16 Mon,06h 46m 32.42s,"+08° 35' 13.8""",1116
HD 46709,06h 35m 17.60s,"+09° 59' 18.1""",1583
HD 52312,07h 00m 23.76s,"?08° 24' 24.6""",1098
HD 56207,07h 15m 43.22s,"?10° 35' 01.0""",401
HD 51814,06h 58m 57.03s,"+03° 36' 08.5""",926
HD 52913,07h 03m 17.93s,"+09° 08' 18.1""",259
HD 58526,07h 25m 51.20s,"?05° 46' 29.8""",1895
T Mon,06h 25m 13.00s,"+07° 05' 08.6""",7762
HD 43319,06h 15m 29.66s,"?04° 54' 52.7""",217
HD 61749,07h 40m 35.51s,"?08° 11' 07.3""",310
HD 55879,07h 14m 28.26s,"?10° 18' 58.5""",2433
HD 50890,06h 54m 58.92s,"?02° 48' 12.9""",1259
Plaskett's star,06h 37m 24.04s,"+06° 08' 07.4""",6618
HD 46178,06h 32m 23.27s,"+11° 40' 25.0""",834
HD 43362,06h 15m 26.16s,"?09° 02' 08.7""",763
HD 53929,07h 07m 06.48s,"+04° 54' 38.2""",709
V721 Mon,06h 23m 35.92s,"?09° 52' 29.1""",2050
HD 47420,06h 38m 20.46s,"?02° 32' 38.1""",738
1 Mon,05h 59m 01.07s,"?09° 22' 56.1""",316
HD 42536,06h 11m 01.22s,"?06° 45' 15.1""",552
