Name,RA,Dec,Dist. (ly)
? Mus,12h 37m 11.08s,"?69° 08' 07.9""",306
? Mus,12h 46m 16.87s,"?68° 06' 29.1""",311
? Mus,13h 02m 15.78s,"?71° 32' 55.7""",90.8
? Mus,11h 45m 36.57s,"?66° 43' 43.8""",128
? Mus,12h 32m 28.11s,"?72° 07' 58.7""",324
? Mus,12h 17m 34.64s,"?67° 57' 38.4""",302
? Mus,11h 48m 14.49s,"?66° 48' 53.5""",432
? Mus,13h 15m 15.00s,"?67° 53' 40.4""",405
HD 115211,13h 17m 13.03s,"?66° 47' 00.3""",1185
HD 103079,11h 51m 51.27s,"?65° 12' 21.2""",338
HD 102839,11h 49m 56.63s,"?70° 13' 32.8""",1455
GT Mus,11h 39m 29.63s,"?65° 23' 51.9""",561
?1 Mus,13h 25m 07.36s,"?74° 53' 15.0""",225
HD 99104,11h 23m 21.43s,"?64° 57' 17.0""",475
?2 Mus,12h 22m 07.39s,"?67° 31' 19.5""",336
? Cha,12h 07m 50.09s,"?75° 22' 01.4""",438
HD 104878,12h 04m 38.95s,"?68° 19' 44.0""",339
? Mus,13h 08m 07.16s,"?65° 18' 21.7""",7000
HD 99264,11h 24m 11.18s,"?72° 15' 23.8""",883
HD 111315,12h 49m 44.95s,"?71° 59' 10.5""",526
HD 116458,13h 25m 50.40s,"?70° 37' 38.1""",464
?1 Mus,12h 22m 12.03s,"?68° 18' 25.9""",396
HD 108970,12h 32m 09.90s,"?73° 00' 03.8""",341
HD 100382,11h 32m 20.00s,"?66° 57' 42.6""",298
HD 104600,12h 02m 37.76s,"?69° 11' 32.2""",308
HD 114570,13h 12m 48.77s,"?66° 13' 36.4""",285
HD 114371,13h 11m 51.38s,"?69° 56' 31.3""",144
HD 112219,12h 56m 31.72s,"?72° 11' 06.7""",698
LS Mus,13h 03m 05.36s,"?71° 28' 32.6""",1575
HD 101162,11h 37m 48.51s,"?67° 37' 13.3""",348
HD 105151,12h 06m 23.08s,"?65° 42' 33.9""",566
HD 115439,13h 19m 18.99s,"?72° 02' 07.7""",445
S Mus,12h 12m 47.03s,"?70° 09' 06.4""",1630
HD 106797,12h 17m 06.36s,"?65° 41' 34.6""",335
HD 115149,13h 16m 45.05s,"?65° 08' 17.3""",127
HD 115967,13h 22m 52.62s,"?72° 08' 48.0""",746
HD 99872,11h 28m 18.46s,"?72° 28' 26.3""",758
HD 117025,13h 29m 07.98s,"?64° 40' 32.8""",288
BO Mus,12h 34m 54.46s,"?67° 45' 24.8""",1003
HD 118344,13h 38m 45.83s,"?70° 26' 41.1""",438
HD 110716,12h 45m 02.07s,"?68° 49' 50.7""",1940
HD 116890,13h 28m 46.82s,"?69° 37' 37.6""",698
HD 107301,12h 20m 28.28s,"?65° 50' 33.5""",323
HD 106676,12h 16m 23.87s,"?72° 36' 52.1""",333
KY Mus,12h 38m 52.37s,"?67° 11' 35.0""",
HD 105138,12h 06m 19.93s,"?68° 39' 05.0""",1884
HD 98672,11h 19m 36.58s,"?75° 08' 32.8""",532
FH Mus,12h 39m 55.90s,"?66° 30' 40.0""",353
HD 108054,12h 25m 17.62s,"?65° 46' 10.6""",156
HD 105071,12h 05m 53.63s,"?65° 32' 48.8""",
R Mus,12h 42m 05.03s,"?69° 24' 27.2""",1929
HD 113919,13h 08m 27.84s,"?67° 47' 48.3""",1000
HD 107773,12h 23m 15.04s,"?67° 37' 55.8""",166
HD 117651,13h 33m 35.92s,"?65° 37' 57.4""",349
HD 114912,13h 15m 25.77s,"?69° 40' 45.1""",306
HD 103482,11h 54m 44.62s,"?66° 22' 33.7""",141
HD 98695,11h 20m 04.16s,"?71° 59' 39.6""",758
HD 104570,12h 02m 28.59s,"?71° 29' 20.4""",421
HD 104752,12h 03m 44.54s,"?74° 12' 50.7""",921
HD 98671,11h 19m 50.84s,"?72° 57' 29.8""",486
HD 109857,12h 39m 14.64s,"?75° 22' 14.1""",769
HD 101805,11h 42m 14.82s,"?75° 13' 38.3""",112
HD 105822,12h 11m 01.22s,"?68° 15' 39.4""",939
?2 Mus,13h 27m 18.58s,"?74° 41' 30.2""",495
HD 100546,11h 33m 25.44s,"?70° 11' 41.2""",337
HD 112410,12h 57m 32.0s,"?65° 38' 47""",440
GQ Mus,11h 52m 02.35s,"?67° 12' 20.2""",
HD 105056,12h 05m 49.88s,"?69° 34' 23.0""",16000
HD 111232,12h 48m 51.75s,"?68° 25' 30.5""",94
TU Mus,11h 31m 10.92s,"?65° 44' 32.1""",15000
RT Mus,11h 44m 32.88s,"?67° 18' 18.9""",3500
T Mus,13h 21m 13.85s,"?74° 26' 31.0""",2040
KZ Mus,12h 39m 19.16s,"?71° 37' 18.5""",11000
HD 108341,12h 27m 31.0s,"?71° 25' 23""",161
UU Mus,11h 52m 17.72s,"?65° 24' 15.1""",1490
SY Mus,11h 32m 10.01s,"?65° 25' 11.6""",2770
MP Mus,13h 22m 07.55s,"?69° 38' 12.2""",
Y Mus,13h 05m 48.20s,"?65° 30' 46.6""",698
TV Mus,11h 39m 50.76s,"?64° 48' 59.3""",755
LP 145-141,11h 45m 42.92s,"?64° 50' 29.5""",15106
GRS 1124-683,11h 26m 26.60s,"?68° 40' 32.3""",
2S 1254-690,12h 57m 30.15s,"?69° 17' 19.0""",
PSR J1141-6545,11h 41m 07.02s,"?65° 45' 19.1""",
KN Mus,13h 33m 32.86s,"?65° 58' 27.1""",1780
