Name,RA,Dec,Dist. (ly)
? Oct,21h 41m 28.47s,"?77° 23' 22.1""",69
? Oct,22h 46m 03.72s,"?81° 22' 53.8""",140
? Oct,14h 26m 55.74s,"?83° 40' 04.3""",279
? Oct,00h 01m 35.85s,"?77° 03' 55.1""",221
? Oct,22h 20m 01.48s,"?80° 26' 22.7""",268
?1 Oct,23h 52m 06.69s,"?82° 01' 07.6""",267
? Oct,21h 04m 43.03s,"?77° 01' 22.3""",148
? Oct,21h 50m 54.25s,"?82° 43' 07.8""",435
?3 Oct,00h 10m 02.27s,"?82° 13' 26.4""",242
? Oct,18h 54m 47.65s,"?87° 36' 19.9""",250
? Oct,22h 50m 22.75s,"?80° 07' 25.7""",444
? Oct,08h 56m 41.88s,"?85° 39' 47.6""",157
? Oct,12h 54m 58.35s,"?85° 07' 24.3""",371
? Oct,21h 08m 46.01s,"?88° 57' 23.4""",270
? Oct,18h 23m 36.44s,"?75° 02' 39.6""",197
? Oct,22h 17m 50.70s,"?77° 30' 41.7""",125
? Oct,23h 28m 03.57s,"?87° 28' 56.1""",522
? Oct,13h 40m 56.18s,"?85° 47' 09.6""",256
? Oct,15h 43m 16.10s,"?84° 27' 55.8""",217
?1 Oct,15h 01m 50.70s,"?83° 13' 40.0""",389
?2 Oct,15h 04m 46.96s,"?83° 02' 17.8""",1734
HD 11025,01h 37m 27.78s,"?84° 46' 10.7""",365
?2 Oct,23h 57m 32.99s,"?82° 10' 11.1""",314
HD 222806,23h 44m 40.68s,"?78° 47' 29.2""",569
HD 193721,20h 33m 17.61s,"?80° 57' 53.4""",527
? Oct,22h 31m 37.83s,"?85° 58' 02.6""",330
HD 1032,00h 13m 19.55s,"?84° 59' 38.5""",815
HD 221420,23h 33m 19.55s,"?77° 23' 07.2""",104
HD 10800,01h 37m 54.98s,"?82° 58' 31.0""",88
? Oct,15h 11m 08.79s,"?84° 47' 16.2""",318
HD 194612,20h 38m 18.60s,"?81° 17' 20.3""",635
HD 208741,22h 03m 03.74s,"?76° 07' 05.8""",201
HD 167714,18h 29m 20.02s,"?80° 13' 57.2""",348
?1 Oct,20h 42m 02.52s,"?76° 10' 50.0""",337
HD 222060,23h 38m 23.69s,"?76° 52' 10.2""",625
HD 104555,12h 02m 20.68s,"?85° 37' 54.3""",335
CW Oct,17h 00m 58.44s,"?86° 21' 51.5""",598
HD 218108,23h 08m 23.54s,"?79° 28' 50.2""",243
HD 212168,22h 25m 51.03s,"?75° 00' 56.6""",75
HD 210056,22h 11m 55.13s,"?76° 06' 57.3""",302
HD 191220,20h 24m 54.80s,"?83° 18' 38.3""",252
HD 213402,22h 35m 26.36s,"?78° 46' 17.6""",1090
HD 204904,21h 38m 56.15s,"?79° 26' 33.1""",196
? Oct,10h 59m 14.16s,"?84° 35' 37.9""",356
HD 169904,18h 42m 14.36s,"?81° 48' 29.1""",553
HD 107739,12h 25m 38.28s,"?86° 09' 02.1""",765
HD 219572,23h 19m 08.55s,"?79° 28' 20.8""",489
HD 172226,18h 58m 10.03s,"?83° 25' 19.8""",558
HD 203532,21h 33m 54.47s,"?82° 40' 59.1""",813
HD 171990,18h 47m 49.20s,"?77° 52' 07.0""",141
HD 186154,19h 56m 01.62s,"?81° 20' 59.4""",694
HD 208500,22h 01m 52.65s,"?77° 39' 45.1""",311
R Oct,05h 26m 06.12s,"?86° 23' 17.8""",1960
HD 25887,03h 42m 32.69s,"?85° 15' 43.3""",481
HD 218559,23h 12m 12.43s,"?80° 54' 45.6""",582
HD 202418,21h 32m 02.86s,"?84° 48' 36.0""",667
HD 159517,18h 01m 34.21s,"?85° 12' 52.1""",219
BP Oct,15h 28m 20.68s,"?88° 07' 58.1""",210
HD 58805,06h 46m 58.52s,"?87° 01' 29.9""",128
HD 203955,21h 33m 21.07s,"?80° 02' 21.5""",360
HD 165338,18h 28m 06.35s,"?84° 23' 14.0""",596
?2 Oct,20h 41m 43.74s,"?75° 21' 01.5""",142
B Oct,22h 45m 30.22s,"?88° 49' 05.9""",335
BQ Oct,14h 35m 29.51s,"?89° 46' 18.2""",1600
? Oct,00h 12m 33.96s,"?88° 21' 46.3""",1790
HD 142022,16h 10m 15.03s,"?84° 13' 53.8""",112
HD 212301,22h 27m 30.92s,"?77° 43' 04.5""",179
CF Oct,20h 49m 37.26s,"?80° 08' 01.0""",683
HD 188136,20h 03m 31.75s,"?78° 49' 50.7""",620
X Oct,10h 26m 14.25s,"?84° 20' 53.9""",997
HD 89499,10h 07m 29.54s,"?85° 04' 33.0""",373
UV Oct,16h 32m 59.53s,"?83° 14' 10.5""",1340
HD 190290,20h 13m 56.35s,"?78° 52' 42.3""",
RV Oct,13h 46m 31.75s,"?84° 24' 06.4""",2470
EUVE J0317-85.5,03h 17m 15.81s,"?85° 32' 25.5""",
AO Oct,21h 05m 08.23s,"?75° 21' 01.8""",
