Name,RA,Dec,Dist. (ly)
? Oph,17h 34m 56.00s,"+12° 33' 38.1""",47
? Oph,17h 10m 22.66s,"?15° 43' 30.5""",84
? Oph,16h 37m 09.53s,"?10° 34' 01.7""",458
? Oph,16h 14m 20.77s,"?03° 41' 38.3""",170
? Oph,17h 43m 28.38s,"+04° 34' 00.9""",82
? Oph,16h 57m 40.27s,"+09° 22' 30.2""",86
? Oph,16h 18m 19.24s,"?04° 41' 33.4""",107
? Oph,17h 22m 00.58s,"?24° 59' 58.2""",563
? Oph,17h 59m 01.60s,"?09° 46' 24.1""",153
72 Oph,18h 07m 21.02s,"+09° 33' 49.2""",83
? Oph,17h 47m 53.57s,"+02° 42' 26.9""",95
? Oph,16h 30m 54.84s,"+01° 59' 02.8""",166
67 Oph,18h 00m 38.72s,"+02° 55' 53.7""",1417
70 Oph,18h 05m 27.21s,"+02° 30' 08.8""",17
44 Oph,17h 26m 22.22s,"?24° 10' 30.1""",84
? Oph,16h 27m 01.44s,"?18° 27' 22.3""",489
45 Oph,17h 27m 21.26s,"?29° 52' 00.1""",111
? Oph,16h 31m 08.39s,"?16° 36' 45.5""",210
36 Oph B,17h 15m 21.29s,"?26° 36' 00.2""",20
? Oph,17h 26m 30.88s,"+04° 08' 25.2""",1173
? Oph,16h 54m 00.50s,"+10° 09' 55.6""",234
? Oph,17h 21m 00.21s,"?21° 06' 44.8""",57
68 Oph,18h 01m 45.19s,"+01° 18' 18.4""",265
? Oph,16h 32m 08.19s,"?21° 27' 59.3""",175
? Oph,16h 24m 06.20s,"?20° 02' 14.0""",178
HD 157950,17h 26m 37.94s,"?05° 05' 11.4""",98
? Oph A,16h 25m 35.12s,"?23° 26' 49.6""",361
? Oph,17h 37m 50.72s,"?08° 07' 07.4""",549
? Oph,16h 27m 48.23s,"?08° 22' 18.1""",122
20 Oph,16h 49m 49.97s,"?10° 46' 58.1""",121
71 Oph,18h 07m 18.35s,"+08° 44' 01.7""",238
41 Oph,17h 16m 36.71s,"?00° 26' 42.5""",218
? Oph B,18h 03m 04.91s,"?08° 10' 48.9""",167
51 Oph,17h 31m 24.95s,"?23° 57' 45.3""",426
66 Oph,18h 00m 15.80s,"+04° 22' 07.1""",676
30 Oph,17h 01m 03.63s,"?04° 13' 20.8""",402
74 Oph,18h 20m 52.06s,"+03° 22' 37.7""",269
58 Oph,17h 43m 25.85s,"?21° 40' 59.1""",57
24 Sco,16h 41m 34.40s,"?17° 44' 31.8""",391
66 Her,17h 18m 36.99s,"+10° 51' 53.0""",691
36 Oph A,17h 15m 20.80s,"?26° 36' 05.0""",20
? Oph,17h 18m 00.72s,"?24° 17' 12.8""",363
23 Oph,16h 54m 35.71s,"?06° 09' 14.1""",248
17 G. Oph,16h 27m 43.46s,"?07° 35' 51.2""",507
? Oph A,18h 03m 04.90s,"?08° 10' 50.0""",167
43 Oph,17h 23m 21.59s,"?28° 08' 33.9""",599
Gliese 678,17h 30m 23.87s,"?01° 03' 45.0""",54
37 Oph,17h 12m 27.81s,"+10° 35' 06.8""",776
,18h 36m 27.84s,"+09° 07' 22.1""",127
21 G. Oph,16h 28m 33.98s,"+00° 39' 54.6""",422
146 G. Oph,17h 28m 49.69s,"+00° 19' 50.1""",206
208 G. Oph,18h 19m 09.56s,"+07° 15' 35.1""",147
88 G. Oph,17h 09m 47.92s,"?10° 31' 22.9""",132
,18h 36m 39.09s,"+06° 40' 19.8""",103
183 G. Oph,17h 56m 47.75s,"?04° 04' 54.5""",426
202 G. Oph,18h 10m 40.29s,"+03° 19' 27.4""",412
21 Oph,16h 51m 24.94s,"+01° 12' 57.5""",345
40 G. Oph,16h 41m 53.67s,"?19° 55' 28.1""",139
24 Oph,16h 56m 48.04s,"?23° 09' 01.2""",363
152 G. Oph,17h 31m 21.35s,"+02° 43' 28.1""",373
153 G. Oph,17h 33m 29.87s,"?05° 44' 40.5""",158
82 G. Oph,17h 05m 32.26s,"?00° 53' 31.4""",765
HR 6902,18h 25m 38.80s,"+08° 01' 55.3""",807
22 G. Oph,16h 29m 46.90s,"?14° 33' 03.2""",268
201 G. Oph,18h 09m 54.01s,"+03° 07' 13.1""",153
73 Oph,18h 09m 33.86s,"+03° 59' 35.8""",166
14 Oph,16h 41m 42.54s,"+01° 10' 52.0""",165
26 Oph,17h 00m 09.48s,"?24° 59' 20.2""",108
12 Oph,16h 36m 21.18s,"?02° 19' 25.8""",32
134 G. Oph,17h 23m 57.61s,"+08° 51' 09.3""",1076
180 G. Oph,17h 53m 14.26s,"+06° 06' 04.5""",102
53 Oph,17h 34m 36.69s,"+09° 35' 12.2""",342
132 G. Oph,17h 24m 42.04s,"?21° 26' 29.1""",302
V2052 Oph,17h 56m 18.40s,"+00° 40' 13.3""",830
54 G. Oph,16h 53m 25.26s,"?20° 24' 55.8""",91
187 G. Oph,17h 59m 36.76s,"?04° 49' 15.3""",553
66 G. Oph,16h 59m 57.70s,"?25° 05' 31.8""",482
U Oph,17h 16m 31.72s,"+01° 12' 38.1""",606
179 G. Oph,17h 52m 35.46s,"+01° 18' 18.2""",351
? Oph B,16h 25m 35.10s,"?23° 26' 46.0""",361
184 G. Oph,17h 57m 04.30s,"+00° 04' 00.1""",312
164 G. Oph,17h 41m 32.32s,"+06° 18' 47.4""",1240
85 G. Oph,17h 08m 14.85s,"?17° 36' 32.3""",401
105 G. Oph,17h 15m 20.30s,"?14° 35' 02.9""",307
140 G. Oph,17h 27m 37.56s,"?29° 43' 28.2""",599
,18h 22m 35.31s,"+12° 01' 46.7""",479
V2213 Oph,17h 05m 16.83s,"+00° 42' 12.1""",66
142 G. Oph,17h 26m 19.01s,"+07° 35' 44.4""",825
16 Oph,16h 45m 29.68s,"+01° 01' 12.5""",477
46 G. Oph,16h 48m 26.99s,"?14° 54' 33.8""",447
119 G. Oph,17h 19m 53.35s,"?17° 45' 23.3""",373
30 G. Oph,16h 38m 01.56s,"?06° 32' 16.8""",412
151 G. Oph,17h 31m 44.38s,"?26° 16' 10.8""",436
16 G. Oph,16h 26m 50.06s,"+02° 20' 52.7""",466
86 G. Oph,17h 08m 13.66s,"?01° 04' 45.8""",272
36 G. Oph,16h 41m 36.21s,"?24° 28' 04.6""",262
19 Oph,16h 47m 09.76s,"+02° 03' 52.4""",492
,18h 27m 50.32s,"+03° 44' 54.9""",1370
109 G. Oph,17h 16m 42.75s,"?06° 14' 41.8""",407
162 G. Oph,17h 40m 11.95s,"?02° 09' 08.2""",544
V2392 Oph,18h 16m 05.58s,"+02° 22' 39.3""",706
95 G. Oph,17h 12m 25.07s,"?27° 45' 43.2""",546
,17h 38m 57.87s,"+13° 19' 45.0""",305
V986 Oph,18h 04m 37.36s,"+01° 55' 08.4""",
63 G. Oph,16h 57m 26.00s,"?10° 57' 47.4""",251
61 Oph,17h 44m 34.09s,"+02° 34' 45.9""",460
V2368 Oph,17h 16m 14.25s,"+02° 11' 10.5""",588
33 Sco,17h 25m 06.23s,"?24° 14' 37.4""",424
8 G. Oph,16h 16m 55.28s,"?03° 57' 12.1""",155
V1010 Oph,16h 49m 27.67s,"?15° 40' 04.8""",242
Y Oph,17h 52m 38.70s,"?06° 08' 36.8""",2860
2 Sgr,17h 38m 44.87s,"?21° 54' 45.4""",337
,17h 50m 43.61s,"+11° 56' 47.9""",509
173 G. Oph,17h 48m 20.23s,"+03° 48' 15.1""",2470
10 G. Oph,16h 22m 38.91s,"?02° 04' 47.5""",407
V2388 Oph,17h 54m 14.21s,"+11° 07' 51.4""",221
34 G. Oph,16h 40m 34.51s,"?20° 24' 31.4""",424
41 G. Oph,16h 41m 11.53s,"?01° 00' 01.0""",154
V2542 Oph,16h 54m 10.60s,"?01° 36' 43.6""",238
159 G. Oph,17h 39m 08.48s,"+02° 01' 41.2""",387
5 G. Oph,16h 12m 56.60s,"?04° 13' 14.7""",557
80 G. Oph,17h 06m 53.23s,"?26° 30' 46.8""",1294
,18h 39m 51.60s,"+07° 21' 31.4""",488
62 G. Oph,16h 57m 03.99s,"?19° 32' 23.4""",682
29 Oph,17h 01m 51.27s,"?18° 53' 07.8""",450
115 G. Oph,17h 18m 19.27s,"?16° 18' 42.8""",805
131 G. Oph,17h 22m 51.26s,"?02° 23' 16.5""",63
185 G. Oph,17h 56m 55.96s,"+06° 29' 15.8""",681
77 G. Oph,17h 04m 45.33s,"?20° 29' 40.7""",397
