Name,RA,Dec,Dist. (ly)
? Phe,00h 26m 16.87s,"?42° 18' 18.4""",77
? Phe,01h 06m 05.11s,"?46° 43' 06.6""",198
? Phe,01h 28m 21.94s,"?43° 19' 03.8""",234
? Phe,00h 09m 24.54s,"?45° 44' 49.2""",140
? Phe,00h 26m 12.12s,"?43° 40' 47.7""",77
? Phe,01h 31m 14.98s,"?49° 04' 23.1""",147
? Phe,01h 08m 23.06s,"?55° 14' 45.0""",280
? Phe,00h 43m 21.24s,"?57° 27' 47.2""",240
? Phe,01h 53m 38.82s,"?46° 18' 08.8""",321
? Phe,00h 41m 19.58s,"?46° 05' 06.0""",247
? Phe,23h 35m 04.53s,"?42° 36' 54.4""",273
HD 222095,23h 37m 50.94s,"?45° 29' 32.4""",200
?1 Phe,00h 31m 24.86s,"?48° 48' 12.8""",172
,01h 57m 09.99s,"?47° 23' 07.1""",267
? Phe,01h 15m 10.57s,"?45° 31' 55.5""",49
? Phe,01h 54m 22.06s,"?42° 29' 48.8""",309
? Phe,23h 58m 55.72s,"?52° 44' 45.4""",257
? Phe,02h 01m 42.40s,"?44° 42' 48.2""",372
? Phe,23h 47m 15.99s,"?50° 13' 35.1""",592
? Phe,01h 07m 47.83s,"?41° 29' 13.0""",198
? Phe,00h 50m 41.13s,"?50° 59' 12.9""",250
HD 6245,01h 02m 49.19s,"?46° 23' 50.4""",235
HD 2490,00h 28m 26.42s,"?39° 54' 53.6""",415
HD 8651,01h 24m 40.77s,"?41° 29' 32.9""",247
HD 10934,01h 46m 05.93s,"?50° 48' 58.4""",679
?2 Phe,00h 35m 41.13s,"?48° 00' 02.4""",118
HD 224865,00h 01m 20.11s,"?50° 20' 14.6""",558
HD 3158,00h 34m 27.62s,"?52° 22' 23.5""",84
HD 12296,01h 59m 38.85s,"?42° 01' 49.0""",260
HD 2726,00h 30m 25.97s,"?48° 12' 52.9""",147
HD 142,00h 06m 19.0s,"?49° 04' 30""",67
? Phe,00h 01m 04.60s,"?48° 48' 35.5""",546
? Phe,00h 41m 46.30s,"?56° 30' 05.2""",213
HD 4391,00h 45m 45.43s,"?47° 33' 07.8""",49
HD 13336,02h 09m 09.33s,"?43° 30' 59.3""",574
HD 13940,02h 14m 31.96s,"?41° 10' 00.1""",334
HD 4293,00h 44m 57.12s,"?42° 40' 34.8""",217
BD Phe,01h 50m 54.48s,"?50° 12' 22.1""",244
HD 3750,00h 39m 51.91s,"?44° 47' 46.8""",303
HD 221323,23h 31m 26.92s,"?44° 50' 36.7""",371
HD 224022,23h 54m 38.34s,"?40° 18' 00.5""",91
HD 3303,00h 35m 33.32s,"?54° 49' 18.3""",253
? Phe,23h 39m 27.92s,"?46° 38' 16.4""",278
HD 222803,23h 44m 01.05s,"?45° 04' 59.3""",238
? Phe,01h 02m 01.81s,"?57° 00' 08.7""",368
HD 11332,01h 50m 20.08s,"?47° 48' 59.4""",490
HD 4304,00h 44m 59.72s,"?53° 42' 53.6""",148
HD 9414,01h 31m 39.02s,"?45° 34' 32.6""",319
HD 15064,02h 24m 33.71s,"?40° 50' 26.6""",102
HD 2724,00h 30m 27.83s,"?40° 56' 22.7""",420
HD 11022,01h 47m 16.69s,"?41° 45' 36.2""",563
HD 220802,23h 27m 09.08s,"?50° 09' 26.2""",507
AW Phe,01h 29m 30.54s,"?46° 45' 23.3""",982
HD 2529,00h 28m 42.98s,"?50° 31' 58.2""",380
HD 8681,01h 24m 41.92s,"?44° 31' 42.7""",613
HD 9544,01h 32m 36.39s,"?49° 43' 39.1""",263
HD 224750,00h 00m 19.05s,"?44° 17' 25.1""",237
HD 4737,00h 48m 56.74s,"?46° 41' 51.7""",388
HD 14832,02h 22m 11.70s,"?43° 11' 59.7""",441
HD 469,00h 09m 02.35s,"?54° 00' 07.1""",466
HD 13423,02h 10m 04.77s,"?43° 48' 56.0""",392
HD 223011,23h 46m 01.18s,"?40° 10' 56.9""",213
HD 1483,00h 18m 42.52s,"?43° 14' 08.1""",381
HD 14509,02h 19m 24.76s,"?41° 50' 54.4""",534
HD 3488,00h 37m 18.18s,"?54° 23' 37.7""",476
HD 7082,01h 10m 07.38s,"?57° 41' 38.9""",413
HD 9895,01h 35m 50.60s,"?39° 56' 49.2""",123
HD 221051,23h 29m 00.80s,"?44° 29' 52.9""",533
HD 11421,01h 51m 26.35s,"?39° 50' 09.2""",450
HR 239,00h 50m 03.76s,"?43° 23' 41.8""",316
HD 224782,00h 00m 34.29s,"?53° 05' 51.6""",193
HD 13387,02h 09m 48.43s,"?40° 51' 59.2""",222
HD 223549,23h 50m 35.63s,"?47° 22' 37.3""",434
HD 13218,02h 08m 05.70s,"?41° 52' 49.4""",284
HD 5388,00h 55m 11.89s,"?47° 24' 21.5""",174
SX Phe,23h 46m 32.89s,"?41° 34' 54.8""",254.7
HD 6434,01h 04m 40.1511s,"?39° 29' 17.6""",131
HD 8535,01h 23m 37.24s,"?41° 16' 11.3""",184
HD 13724,02h 12m 21.0s,"?46° 48' 59""",142
AE Phe,01h 32m 32.93s,"?49° 31' 41.3""",165.1
AI Phe,01h 09m 34.19s,"?46° 15' 56.1""",931
HD 2039,00h 24m 20.28s,"?56° 39' 00.2""",293
WASP-18,01h 37m 25.03s,"?45° 40' 40.389""",344
AD Phe,01h 16m 38.07s,"?39° 42' 31.3""",475
HIP 65A,00h 00m 45.0s,"?54° 49' 51""",202
WASP-29,23h 51m 31s,"?39° 54' 24""",261
WASP-105,01h 36m 40.0s,"?50° 39' 32""",
RV Phe,23h 28m 31.45s,"?47° 27' 13.1""",14000
WASP-96,00h 04m 11.0s,"?47° 21' 38""",
WASP-5,23h 57m 23.76s,"?41° 16' 37.7""",968
WASP-4,23h 34m 15.06s,"?42° 03' 41.1""",979
YZ Phe,01h 42m 25.85s,"?45° 57' 03.9""",
WD 2359-434,00h 02m 10.77s,"?43° 09' 56.02""",26662
HE0107-5240,01h 09m 29.10s,"?52° 24' 34.0""",
BPM 30551,01h 06m 53.64s,"?46° 08' 53.7""",
