Name,RA,Dec,Dist. (ly)
Fomalhaut,22h 57m 38.83s,"?29° 37' 18.6""",25
? PsA,22h 40m 39.33s,"?27° 02' 37.0""",744
? PsA,22h 55m 56.89s,"?32° 32' 22.9""",170
? PsA,22h 31m 30.29s,"?32° 20' 45.7""",148
? PsA,21h 44m 56.79s,"?33° 01' 32.0""",205
? PsA,22h 52m 31.56s,"?32° 52' 31.6""",222
? PsA,22h 08m 22.95s,"?32° 59' 18.2""",130
? PsA,22h 10m 08.48s,"?32° 32' 54.4""",61
? PsA,22h 08m 25.93s,"?34° 02' 37.4""",528
? PsA,21h 47m 44.17s,"?30° 53' 53.9""",339
? PsA,23h 03m 29.76s,"?34° 44' 58.6""",93
HD 210271,22h 09m 55.71s,"?34° 00' 54.1""",212
? PsA,22h 00m 50.22s,"?28° 27' 13.5""",1012
? PsA,22h 14m 18.74s,"?27° 46' 00.9""",508
WX PsA,22h 59m 35.76s,"?29° 27' 44.4""",366
HD 217484,23h 01m 19.35s,"?28° 51' 14.1""",584
HD 210848,22h 13m 44.39s,"?25° 10' 51.3""",221
VZ PsA,22h 38m 51.46s,"?33° 04' 53.0""",435
HD 217303,23h 00m 05.77s,"?25° 09' 50.4""",706
8 PsA,21h 36m 10.90s,"?26° 10' 17.2""",176
HD 214122,22h 36m 35.47s,"?31° 39' 49.3""",312
HD 214690,22h 40m 22.38s,"?30° 39' 30.1""",642
HD 213135,22h 29m 45.94s,"?27° 06' 26.0""",137
6 PsA,21h 32m 14.58s,"?33° 56' 40.6""",412
UU PsA,22h 04m 36.76s,"?26° 49' 20.4""",1128
21 PsA,22h 51m 20.94s,"?29° 32' 10.6""",370
HD 216761,22h 55m 51.54s,"?31° 37' 59.5""",948
7 PsA,21h 36m 48.75s,"?33° 02' 52.4""",237
19 PsA,22h 42m 22.08s,"?29° 21' 39.6""",607
HD 211291,22h 16m 37.44s,"?25° 53' 53.3""",568
HD 217096,22h 58m 35.01s,"?35° 31' 22.6""",253
HD 210739,22h 12m 57.50s,"?26° 19' 39.8""",189
HD 205872,21h 39m 06.07s,"?33° 40' 43.5""",147
HD 215669,22h 47m 19.21s,"?34° 09' 42.4""",320
HD 214599,22h 39m 44.12s,"?28° 19' 32.0""",466
HD 217358,23h 00m 24.58s,"?25° 37' 36.3""",428
HD 215782,22h 47m 56.13s,"?25° 54' 42.3""",517
HD 216042,22h 49m 59.25s,"?32° 48' 19.4""",228
HD 210111,22h 08m 42.63s,"?33° 07' 32.7""",257
HD 208285,21h 55m 55.60s,"?30° 36' 21.1""",412
HD 205265,21h 34m 52.99s,"?29° 41' 45.9""",695
? PsA,22h 30m 53.75s,"?26° 04' 24.8""",399
HD 210300,22h 10m 00.13s,"?28° 17' 33.0""",353
13 PsA,22h 04m 23.83s,"?29° 54' 59.5""",1299
HD 214462,22h 38m 44.70s,"?28° 44' 53.5""",403
TW PsA,22h 56m 23.83s,"?31° 33' 54.6""",25
5 PsA,21h 29m 03.73s,"?31° 14' 18.7""",377
Lacaille 9352,23h 05m 52.04s,"?35° 51' 11.1""",11
HD 216770,22h 55m 53.70s,"?26° 39' 31.6""",124
HD 205739,21h 38m 08.41s,"?31° 44' 14.9""",295
HD 207832,21h 52m 36.0s,"?26° 01' 36""",177
RW PsA,22h 09m 46.92s,"?27° 04' 01.7""",
WASP-124,22h 10m 51.0s,"?30° 44' 58""",1412
WASP-112,22h 37m 57.0s,"?35° 09' 14""",1468
TY PsA,22h 49m 39.90s,"?27° 06' 53.2""",
