Name,RA,Dec,Dist. (ly)
? Sct,18h 35m 12.44s,"?08° 14' 35.9""",174
? Sct,18h 47m 10.48s,"?04° 44' 52.2""",689
? Sct,18h 23m 39.55s,"?08° 56' 04.2""",191
? Sct,18h 29m 11.85s,"?14° 33' 56.9""",291
? Sct,18h 42m 16.42s,"?09° 03' 09.2""",187
? Sct,18h 57m 03.63s,"?05° 50' 46.4""",207
? Sct,18h 43m 31.24s,"?08° 16' 30.9""",522
HD 175156,18h 54m 43.12s,"?15° 36' 10.9""",1663
HD 171391,18h 35m 02.36s,"?10° 58' 37.9""",290
R Sct,18h 47m 28.98s,"?05° 42' 18.3""",1405
V450 Sct,18h 32m 43.32s,"?14° 51' 56.4""",1268
HD 173638,18h 46m 43.32s,"?10° 07' 30.1""",
HD 169033,18h 23m 12.17s,"?12° 00' 52.9""",612
HD 171130,18h 33m 39.00s,"?14° 51' 12.9""",211
HD 170740,18h 31m 25.69s,"?10° 47' 44.9""",694
HD 172348,18h 40m 00.40s,"?07° 47' 26.5""",527
HD 174464,18h 50m 58.51s,"?09° 46' 26.8""",1509
HD 174208,18h 49m 40.96s,"?05° 54' 46.2""",1489
V432 Sct,18h 29m 46.75s,"?14° 34' 55.3""",284
HD 172831,18h 42m 36.12s,"?07° 04' 25.1""",243
HD 170547,18h 30m 14.30s,"?05° 43' 26.9""",579
HD 174866,18h 53m 01.80s,"?09° 34' 32.0""",332
HD 169370,18h 24m 42.05s,"?07° 04' 33.1""",281
HD 173093,18h 43m 51.22s,"?06° 49' 04.8""",227
HD 169009,18h 23m 02.10s,"?10° 13' 08.1""",343
HD 170902,18h 32m 20.66s,"?14° 38' 39.2""",241
HD 171149,18h 33m 22.71s,"?05° 54' 41.9""",373
HD 172594,18h 41m 42.46s,"?14° 33' 51.3""",4592
HD 174328,18h 50m 31.17s,"?13° 34' 20.1""",1638
HD 171957,18h 38m 04.48s,"?14° 00' 17.1""",694
HD 174005,18h 48m 39.49s,"?06° 00' 15.8""",527
HD 169913,18h 27m 08.86s,"?08° 02' 25.6""",325
HD 169454,18h 25m 15.19s,"?13° 58' 42.3""",
S Sct,18h 50m 20.04s,"?07° 54' 27.4""",1260
V496 Sct,18h 43m 45.57s,"?07° 36' 42.0""",
RZ Sct,18h 26m 33.52s,"?09° 12' 06.0""",2260
HD 173219,18h 44m 33.34s,"?07° 06' 38.2""",
SS Sct,18h 43m 43.51s,"?07° 43' 51.9""",
EW Sct,18h 37m 51.11s,"?06° 47' 48.5""",1450
V475 Sct,18h 49m 37.60s,"?09° 33' 15.9""",
RU Sct,18h 41m 56.38s,"?04° 06' 38.4""",801
RY Sct,18h 25m 31.48s,"?12° 41' 24.2""",
HD 173637,18h 46m 38.08s,"?07° 55' 55.1""",
EV Sct,18h 36m 39.60s,"?08° 11' 05.4""",
RS Sct,18h 49m 11.25s,"?10° 14' 27.8""",860
AS 314,18h 39m 26.11s,"?13° 50' 47.2""",32600
X Sct,18h 31m 19.75s,"?13° 06' 29.5""",1330
V443 Sct,18h 49m 38.95s,"?06° 11' 15.9""",
UY Sct,18h 27m 36.53s,"?12° 27' 58.9""",
UZ Sct,18h 31m 22.3666774568s,"?22° 55' 43.338736715""",176.35275
CM Sct,18h 42m 26.82s,"?05° 20' 27.0""",
TY Sct,18h 42m 07.92s,"?04° 17' 36.5""",733
V476 Sct,18h 32m 04.75s,"?06° 43' 34.3""",
LS 5039,18h 26m 15.06s,"?14° 50' 54.3""",
V367 Sct,18h 33m 35.24s,"?10° 25' 38.0""",
FR Sct,18h 23m 22.79s,"?12° 40' 51.8""",
MWC 300,18h 29m 25.69s,"?06° 04' 37.3""",
BX Sct,18h 50m 09.24s,"?04° 22' 05.2""",
COROT-17,18h 34m 47s,"?06° 36' 44""",3001
4U 1850-087,18h 53m 04.89s,"?08° 42' 19.7""",22500
CRL 2136,18h 22m 26.59s,"?13° 30' 15.7""",
OH 17.7-2.0,18h 30m 30.62s,"?14° 28' 55.8""",
OH 26.5+0.6,18h 37m 32.51s,"?05° 23' 59.2""",
PSR B1829-10,18h 32m 40.9s,"?10° 21' 34""",
PSR B1822-09,18h 25m 30.55s,"?09° 35' 22.1""",
PSR B1823-13,18h 26m 13.18s,"?13° 34' 46.8""",
PSR B1828-10,18h 30m 47.57s,"?10° 59' 27.9""",
PSR J1833-1034,18h 33m 33.57s,"?10° 34' 07.5""",
1E 1841-045,18h 41m 19.34s,"?04° 56' 11.16""",
EU Sct,18h 56m 13.12s,"?04° 12' 32.3""",
V368 Sct,18h 45m 43.53s,"?08° 33' 00.9""",
V373 Sct,18h 55m 26.71s,"?07° 43' 05.5""",
