Name,RA,Dec,Dist. (ly)
? Sex,10h 07m 56.30s,"?00° 22' 17.9""",287
? Sex,09h 52m 30.47s,"?08° 06' 17.7""",261
? Sex,10h 30m 17.50s,"?00° 38' 13.1""",345
? Sex,10h 29m 28.73s,"?02° 44' 20.6""",300
? Sex,10h 17m 37.90s,"?08° 04' 08.1""",183
HD 90362,10h 25m 44.35s,"?07° 03' 36.5""",329
18 Sex,10h 10m 55.86s,"?08° 25' 06.1""",473
HD 84607,09h 46m 23.64s,"+01° 47' 08.5""",273
19 Sex,10h 12m 48.39s,"+04° 36' 52.9""",527
35 Sex,10h 43m 20.91s,"+04° 44' 51.9""",697
41 Sex,10h 50m 18.06s,"?08° 53' 51.8""",366
HD 93833,10h 49m 43.48s,"?09° 51' 09.5""",346
HD 85709,09h 53m 42.93s,"+05° 57' 30.8""",1399
17 Sex,10h 10m 07.56s,"?08° 24' 29.4""",527
HD 93655,10h 48m 40.57s,"?01° 57' 32.1""",531
HD 94014,10h 51m 05.44s,"?03° 05' 33.5""",514
25 Sex,10h 23m 26.51s,"?04° 04' 26.6""",351
6 Sex,09h 51m 14.02s,"?04° 14' 35.8""",200
7 Sex,09h 52m 12.27s,"+02° 27' 14.0""",1048
HD 90763,10h 28m 43.96s,"?03° 44' 32.3""",244
HD 89033,10h 16m 09.01s,"?11° 12' 12.3""",642
HD 87262,10h 03m 40.99s,"?09° 34' 25.6""",1259
14 Sex,10h 06m 47.44s,"+05° 36' 41.5""",345
HD 91106,10h 30m 58.78s,"?07° 38' 15.2""",767
HD 88372,10h 11m 17.76s,"?07° 18' 59.7""",484
4 Sex,09h 50m 30.17s,"+04° 20' 37.6""",150
33 Sex,10h 41m 24.27s,"?01° 44' 28.3""",112
36 Sex,10h 45m 09.48s,"+02° 29' 16.9""",639
HD 89565,10h 19m 59.52s,"?09° 03' 31.8""",174
HD 90125,10h 24m 13.15s,"+02° 22' 05.1""",328
26 Sex,10h 26m 36.94s,"?00° 59' 17.1""",755
HD 85505,09h 52m 12.00s,"+00° 04' 32.4""",428
HD 89490,10h 19m 32.37s,"?05° 06' 21.5""",293
HD 90057,10h 23m 32.66s,"?03° 38' 34.3""",1203
HD 85380,09h 51m 21.69s,"?06° 10' 55.4""",145
HD 86341,09h 57m 43.90s,"?01° 56' 30.4""",276
13 Sex,10h 04m 08.48s,"+03° 12' 04.6""",179
24 Sex,10h 23m 28.33s,"?00° 54' 07.8""",244
HD 85461,09h 51m 41.20s,"?11° 20' 25.5""",1035
27 Sex,10h 26m 46.90s,"?04° 23' 18.0""",629
34 Sex,10h 42m 37.53s,"+03° 34' 58.9""",234
40 Sex,10h 49m 17.30s,"?04° 01' 26.1""",313
23 Sex,10h 21m 02.01s,"+02° 17' 23.0""",1753
12 Sex,09h 59m 43.12s,"+03° 23' 05.1""",241
9 Sex,09h 54m 06.72s,"+04° 56' 43.4""",1072
21 Sex,10h 14m 08.41s,"?07° 59' 36.4""",675
31 Sex,10h 30m 30.96s,"+02° 09' 01.1""",482
20 Sex,10h 13m 44.49s,"?07° 23' 02.7""",157
HD 92788,10h 42m 48.0s,"?02° 11' 01""",107
KELT-11,10h 42m 48.0s,"?02° 11' 01""",323
S Sex,10h 34m 56.05s,"?00° 20' 33.5""",3260
HD 86081,09h 56m 05.92s,"?03° 48' 30.3""",297
HD 93917,10h 50m 29.72s,"?02° 41' 43.1""",444
T Sex,09h 53m 28.40s,"+02° 03' 26.4""",1440
BD-08°2823,10h 00m 47.72s,"?09° 31' 00.0""",137
Y Sex,10h 02m 47.96s,"+01° 05' 40.3""",371
WASP-127,10h 42m 14.1s,"?03° 50' 06""",
RW Sex,10h 19m 56.62s,"?08° 41' 56.1""",14000
WASP-43,10h 19m 38s,"?09° 48' 23""",
PG 1047+003,10h 50m 02.81s,"+00° 00' 36.9""",
PG 1026+002,10h 28m 34.88s,"?00° 00' 29.5""",
LHS 292,10h 48m 12.58s,"?11° 20' 08.3""",14.75
FIRST J102347.6+003841,10h 23m 47.68s,"+00° 38' 41.3""",
SW Sex,10h 15m 09.39s,"?03° 08' 32.8""",
