Name,RA,Dec,Dist. (ly)
BL Tel,19h 06m 38.11s,"?51° 25' 03.2""",
EC 20058-5234,20h 09m 40.1s,"?52° 25' 17""",
Gliese 754,19h 20m 48.0s,"?45° 33' 28.3""",19.3
HD 166006,18h 11m 04.41s,"?47° 30' 47.0""",490
HD 167257,18h 17m 00.92s,"?51° 04' 05.7""",359
HD 168476,18h 23m 14.66s,"?56° 37' 44.2""",7600
HD 168871,18h 24m 33.11s,"?49° 39' 09.0""",92
HD 169405,18h 26m 54.01s,"?48° 07' 01.6""",529
HD 170069,18h 29m 55.92s,"?47° 13' 13.8""",594
HD 170873,18h 34m 31.13s,"?52° 53' 29.1""",550
HD 171819,18h 39m 14.27s,"?47° 54' 35.3""",329
HD 172223,18h 41m 30.69s,"?48° 05' 39.9""",447
HD 173047,18h 45m 55.99s,"?50° 52' 21.6""",1226
HD 173791,18h 49m 27.34s,"?45° 48' 36.4""",360
HD 174387,18h 52m 27.21s,"?46° 35' 42.4""",956
HD 174430,18h 53m 12.00s,"?51° 55' 53.1""",1831
HD 174474,18h 53m 02.36s,"?48° 21' 38.6""",290
HD 174500,18h 52m 59.90s,"?46° 35' 10.9""",803
HD 176387,19h 02m 12s,"?46° 39' 12.1""",2810
HD 176664,19h 03m 57.52s,"?51° 01' 05.7""",292
HD 177365,19h 06m 54.81s,"?50° 19' 23.0""",520
HD 177406,19h 06m 55.60s,"?48° 17' 56.8""",349
HD 177693,19h 08m 52.27s,"?55° 43' 12.5""",405
HD 178845,19h 12m 46.10s,"?50° 29' 10.7""",457
HD 179886,19h 16m 21.74s,"?45° 27' 57.8""",534
HD 180134,19h 18m 09.76s,"?53° 23' 12.8""",149
HD 181295,19h 22m 37.68s,"?51° 13' 52.5""",232
HD 181327,19h 22m 58.94s,"?54° 32' 17.0""",168.9
HD 182509,19h 27m 48.12s,"?54° 19' 31.1""",579
HD 182893,19h 29m 52.59s,"?55° 26' 29.7""",359
HD 183552,19h 32m 53.79s,"?53° 11' 08.2""",405
HD 185075,19h 40m 18.64s,"?54° 25' 03.9""",370
HD 186756,19h 48m 55.07s,"?52° 53' 16.8""",786
HD 187086,19h 50m 14.05s,"?47° 33' 26.5""",1116
HD 187420,19h 52m 37.70s,"?54° 58' 15.7""",354
HD 187421,19h 52m 39.11s,"?54° 58' 35.2""",276
HD 189080,20h 00m 25.40s,"?49° 21' 03.4""",302
HD 190422,20h 07m 35.07s,"?55° 00' 58.0""",76
HD 190580,20h 08m 09.57s,"?52° 34' 39.9""",188
HD 190879,20h 09m 03.81s,"?47° 04' 04.0""",533
HD 191732,20h 13m 32.38s,"?47° 42' 47.3""",449
HD 191760,20h 13m 26.75s,"?46° 12' 03.7""",277
HD 191829,20h 14m 19.01s,"?52° 26' 44.3""",916
HD 192827,20h 18m 55.97s,"?47° 42' 38.8""",675
HD 192886,20h 19m 17.68s,"?47° 34' 47.4""",96
HD 193002,20h 20m 32.30s,"?55° 03' 02.9""",811
HD 193307,20h 21m 41.36s,"?49° 59' 55.7""",106
HO Tel,19h 51m 58.93s,"?46° 51' 42.4""",1090
KELT-10,18h 58m 11.61s,"?47° 00' 11.91""",618
KK Tel,20h 28m 30.46s,"?52° 18' 45.6""",
PW Tel,19h 33m 21.63s,"?45° 16' 18.1""",436
PZ Tel,18h 53m 05.88s,"?50° 10' 49.9""",167.9
QQ Tel,19h 39m 41.80s,"?45° 16' 42.8""",324
QS Tel,19h 38m 35.81s,"?46° 12' 57.0""",
QV Tel,18h 17m 07.54s,"?56° 01' 24.0""",743
RR Tel,20h 04m 18.54s,"?55° 43' 33.2""",8500
RS Tel,18h 18m 51.22s,"?46° 32' 53.4""",876
RX Tel,19h 06m 58.21s,"?48° 58' 13.6""",
? Tel,18h 26m 58.43s,"?45° 58' 06.0""",249
?1 Tel,18h 31m 45.44s,"?45° 54' 53.1""",795
?2 Tel,18h 32m 01.94s,"?45° 45' 26.5""",1116
? Tel,18h 11m 13.78s,"?45° 57' 15.6""",409
? Tel,18h 28m 49.74s,"?49° 04' 12.1""",127
? Tel,19h 22m 51.18s,"?54° 25' 25.4""",155
? Tel,19h 35m 12.99s,"?48° 05' 56.8""",398
? Tel,18h 52m 39.61s,"?52° 06' 25.7""",293
? Tel,18h 58m 27.76s,"?52° 56' 19.0""",531
? Tel,19h 30m 34.57s,"?55° 06' 36.1""",120
? Tel,19h 48m 01.10s,"?56° 21' 44.2""",170
? Tel,20h 07m 23.17s,"?52° 52' 50.9""",1254
? Tel,19h 06m 19.92s,"?52° 20' 26.3""",171
