Name,RA,Dec,Dist. (ly)
? Tri,02h 09m 32.52s,"+34° 59' 14.6""",124
? Tri,01h 53m 04.90s,"+29° 34' 45.8""",64
? Tri,02h 17m 18.84s,"+33° 50' 50.4""",118
? Tri,02h 17m 02.42s,"+34° 13' 29.4""",35
? Tri,02h 12m 22.32s,"+30° 18' 11.6""",305
14 Tri,02h 32m 06.14s,"+36° 08' 50.0""",391
7 Tri,02h 15m 56.30s,"+33° 21' 32.3""",293
10 Tri,02h 18m 56.99s,"+28° 38' 33.6""",350
12 Tri,02h 28m 09.99s,"+29° 40' 10.3""",155
15 Tri,02h 35m 46.80s,"+34° 41' 15.7""",
R Tri,02h 37m 02.50s,"+34° 15' 50.0""",1299
? Tri,02h 02m 57.97s,"+33° 17' 02.9""",370
11 Tri,02h 27m 27.79s,"+31° 48' 04.9""",286
HD 10390,01h 42m 03.45s,"+35° 14' 44.8""",259
HD 11007,01h 48m 41.68s,"+32° 41' 22.2""",89
HD 11928,01h 57m 43.74s,"+27° 48' 16.3""",476
HD 15755,02h 32m 52.66s,"+34° 32' 32.8""",260
13 Tri,02h 28m 48.54s,"+29° 55' 53.7""",100
HD 10348,01h 41m 39.24s,"+30° 02' 49.7""",523
HD 16187,02h 36m 43.05s,"+31° 36' 27.6""",452
HD 16220,02h 37m 06.51s,"+32° 53' 27.7""",180
5 Tri,02h 11m 25.00s,"+31° 31' 35.1""",482
HD 15464,02h 30m 16.56s,"+33° 50' 01.8""",371
HD 10588,01h 43m 50.15s,"+32° 11' 31.2""",460
HD 13747,02h 14m 37.88s,"+28° 41' 29.1""",194
HD 9298,01h 32m 07.58s,"+34° 47' 59.9""",937
1 Tri,01h 42m 05.92s,"+29° 30' 21.85""",730
HD 13189,02h 09m 40.17s,"+32° 18' 59.2""",602
HD 9446,01h 33m 20.18s,"+29° 15' 54.5""",172
HD 12545,02h 03m 47.11s,"+35° 35' 28.7""",522
X Tri,02h 00m 33.72s,"+27° 53' 19.3""",541
V Tri,01h 31m 47.10s,"+30° 22' 01.6""",
RV Tri,02h 13m 18.16s,"+31° 01' 01.6""",
WASP-56,01h 44m 19.59s,"+31° 41' 22.5""",
RW Tri,02h 25m 36.15s,"+28° 05' 50.9""",
HAT-P-38,02h 21m 31.9s,"+32° 14' 47""",812
AI Tri,02h 03m 48.61s,"+29° 59' 25.8""",
Var 83,01h 34m 10.91s,"+30° 34' 37.4""",3000000
Var B,01h 33m 49.20s,"+30° 38' 09.1""",3000000
Var C,01h 33m 35.14s,"+30° 36' 00.4""",3000000
Var 19,01h 33m 57.1s,"+30° 45' 12""",3000000
M33 X-7,01h 33m 34.13s,"+30° 32' 11.3""",3000000
Var A,01h 32m 32.52s,"+30° 30' 22.4""",3000000
Var 2,01h 34m 18.4s,"+30° 38' 27""",3000000
LSPM J0207+3331,02h 07m 33.81s,"+33° 31' 29.53""",145
