Name,RA,Dec,Dist. (ly)
? TrA,16h 48m 39.87s,"?69° 01' 39.5""",415
? TrA,15h 55m 08.81s,"?63° 25' 47.1""",40
? TrA,15h 18m 54.69s,"?68° 40' 46.1""",183
? TrA,16h 15m 26.27s,"?63° 41' 08.3""",621
? TrA,15h 36m 43.19s,"?66° 19' 00.9""",216
? TrA,16h 28m 27.80s,"?70° 05' 04.8""",39
LP TrA,16h 46m 40.01s,"?67° 06' 34.8""",626
? TrA,15h 55m 29.61s,"?68° 36' 10.8""",2991
HD 148291,16h 30m 49.37s,"?61° 38' 00.5""",669
? TrA,16h 27m 57.27s,"?64° 03' 28.8""",132
? TrA,16h 35m 44.77s,"?65° 29' 43.2""",328
HD 140483,15h 47m 53.10s,"?65° 26' 31.9""",406
LX TrA,15h 27m 33.10s,"?64° 31' 53.2""",679
HD 142514,15h 58m 58.16s,"?65° 02' 15.2""",753
X TrA,15h 14m 19.17s,"?70° 04' 46.0""",1495
HD 133683,15h 09m 29.92s,"?67° 05' 02.9""",6037
HD 142139,15h 56m 05.96s,"?60° 28' 56.3""",215
MX TrA,16h 59m 33.98s,"?69° 16' 05.3""",982
HD 136672,15h 26m 14.53s,"?68° 18' 33.1""",334
?1 TrA,16h 41m 23.13s,"?68° 17' 45.9""",688
HD 145689,16h 17m 05.48s,"?67° 56' 27.9""",180
HD 150026,16h 43m 22.11s,"?67° 25' 56.3""",305
HD 151441,16h 51m 53.88s,"?65° 22' 31.5""",948
HD 141913,15h 54m 52.64s,"?60° 44' 37.1""",1707
HD 147349,16h 25m 22.15s,"?63° 07' 30.9""",428
HD 133456,15h 07m 56.75s,"?65° 16' 31.6""",793
HD 141585,15h 53m 22.94s,"?62° 36' 23.6""",623
HD 150097,16h 42m 48.42s,"?62° 33' 14.1""",1468
HD 143238,16h 02m 52.53s,"?62° 32' 29.5""",339
HD 135737,15h 20m 40.56s,"?67° 28' 53.4""",1254
HD 151404,16h 52m 17.78s,"?67° 40' 53.4""",377
R TrA,15h 19m 45.71s,"?66° 29' 45.7""",3500
S TrA,16h 01m 10.72s,"?63° 46' 35.5""",2050
HD 138965,15h 40m 11.63s,"?70° 13' 39.9""",252
HD 153389,17h 04m 33.70s,"?68° 16' 43.1""",1254
HD 144481,16h 09m 59.19s,"?62° 58' 01.2""",340
U TrA,16h 07m 09.01s,"?62° 54' 38.0""",3130
HD 147018,16h 23m 00.15s,"?61° 41' 19.5""",139
RT TrA,16h 34m 30.89s,"?63° 08' 00.8""",2590
WR 71,16h 03m 49.34s,"?62° 41' 36.0""",2940
EK TrA,15h 14m 01.47s,"?65° 05' 32.1""",
HD 141969,15h 56m 01.69s,"?66° 09' 09.2""",3500
KX TrA,16h 44m 35.47s,"?62° 37' 14.08""",
4U 1626-67,16h 32m 16.8s,"?67° 27' 43""",
X1556-605,16h 01m 02.3s,"?60° 44' 18""",
TrA X-1,15h 28m 17.2s,"?61° 52' 58""",
WISE 1639-6847,16h 39m 40.83s,"?68° 47' 38.6""",16
