name,RA,inclination,distance in ly
? And,00h 08m 23.17s,"+29° 05' 27.0""",97
? And,01h 09m 43.80s,"+35° 37' 15.0""",199
?1 And,02h 03m 53.92s,"+42° 19' 47.5""",355
? And,00h 39m 19.60s,"+30° 51' 40.4""",101
Andromeda Galaxy,00h 42m 44.31s,"+41° 16' 09.4""",2540000
51 And,01h 37m 59.50s,"+48° 37' 42.6""",174
? And,23h 01m 55.25s,"+42° 19' 33.5""",692
? And,23h 37m 33.71s,"+46° 27' 33.0""",84
? And,00h 56m 45.10s,"+38° 29' 57.3""",136
? And,00h 47m 20.39s,"+24° 16' 02.6""",181
? And,01h 36m 47.98s,"+41° 24' 23.0""",44
? And,23h 40m 24.44s,"+44° 20' 02.3""",170
? And,01h 09m 30.12s,"+47° 14' 30.6""",736
? And,23h 38m 08.18s,"+43° 16' 05.1""",502
? And,00h 36m 52.84s,"+33° 43' 09.7""",656
? And,00h 38m 33.50s,"+29° 18' 44.5""",169
? And,00h 57m 12.43s,"+23° 25' 03.9""",243
? And,00h 18m 19.71s,"+36° 47' 07.2""",141
? And,00h 49m 48.83s,"+41° 04' 44.2""",679
7 And,23h 12m 32.92s,"+49° 24' 21.5""",80
? And,00h 17m 05.54s,"+38° 40' 54.0""",253
3 And,23h 04m 10.83s,"+50° 03' 06.1""",179
65 And,02h 25m 37.40s,"+50° 16' 43.2""",345
58 And,02h 08m 29.15s,"+37° 51' 33.1""",198
8 And,23h 17m 44.62s,"+49° 00' 55.0""",655
? And,01h 27m 39.09s,"+45° 24' 25.0""",92
?2 And,02h 03m 54.70s,"+42° 19' 51.0""",350
60 And,02h 13m 13.34s,"+44° 13' 54.1""",556
? And,01h 22m 20.39s,"+45° 31' 43.5""",195
? And,01h 40m 34.80s,"+40° 34' 37.6""",681
41 H. And,01h 41m 46.52s,"+42° 36' 49.7""",41
? And,23h 46m 02.04s,"+46° 25' 13.0""",1309
22 And,00h 10m 19.24s,"+46° 04' 20.2""",1006
? And,01h 39m 21.02s,"+44° 23' 10.1""",242
41 And,01h 08m 00.72s,"+43° 56' 32.1""",196
2 And,23h 02m 36.34s,"+42° 45' 28.1""",349
V428 And,00h 36m 46.47s,"+44° 29' 18.6""",656
? And,00h 21m 07.23s,"+37° 58' 07.3""",160
HD 2421,00h 28m 13.59s,"+44° 23' 40.2""",265
64 And,02h 24m 24.89s,"+50° 00' 23.9""",375
GN And,00h 30m 07.34s,"+29° 45' 06.1""",185
14 And,23h 31m 17.20s,"+39° 14' 11.0""",249
49 And,01h 30m 06.10s,"+47° 00' 26.6""",290
32 And,00h 41m 07.20s,"+39° 27' 31.2""",344
4 And,23h 07m 39.28s,"+46° 23' 14.3""",342
6 Per,02h 13m 36.02s,"+51° 03' 58.4""",199
62 And,02h 19m 16.85s,"+47° 22' 48.0""",255
18 And,23h 39m 08.35s,"+50° 28' 18.3""",390
55 And,01h 53m 17.35s,"+40° 43' 47.3""",540
11 And,23h 19m 29.79s,"+48° 37' 30.7""",328
,00h 37m 21.23s,"+35° 23' 58.2""",1022
36 And,00h 54m 58.02s,"+23° 37' 42.4""",127
V340 And,23h 34m 37.55s,"+40° 14' 11.6""",233
PZ And,02h 20m 58.17s,"+50° 09' 05.5""",356
47 And,01h 23m 40.56s,"+37° 42' 54.0""",211
,01h 40m 39.56s,"+43° 17' 51.9""",268
44 And,01h 10m 18.85s,"+42° 04' 53.7""",172
5 And,23h 07m 45.25s,"+49° 17' 43.6""",111
HD 5788,01h 00m 03.55s,"+44° 42' 47.9""",420
56 And,01h 56m 09.23s,"+37° 15' 06.5""",320
23 And,00h 13m 30.94s,"+41° 02' 08.6""",114
HD 16028,02h 35m 38.74s,"+37° 18' 44.2""",676
V388 And,23h 27m 07.33s,"+42° 54' 43.1""",294
12 And,23h 20m 53.17s,"+38° 10' 56.9""",138
,00h 20m 45.54s,"+32° 54' 40.4""",646
45 And,01h 11m 10.29s,"+37° 43' 26.9""",916
HD 14622,02h 22m 50.36s,"+41° 23' 47.5""",154
10 And,23h 19m 52.38s,"+42° 04' 40.9""",542
HD 222109,23h 37m 32.03s,"+44° 25' 44.5""",823
HD 224635,23h 59m 29.33s,"+33° 43' 26.9""",95
OU And,23h 49m 40.96s,"+36° 25' 31.4""",440
,00h 18m 38.22s,"+31° 31' 02.0""",543
HD 2767,00h 31m 25.61s,"+33° 34' 54.1""",467
HD 1606,00h 20m 24.39s,"+30° 56' 08.2""",582
,01h 55m 54.47s,"+37° 16' 40.1""",991
KK And,01h 34m 16.60s,"+37° 14' 13.9""",392
,02h 36m 57.08s,"+38° 44' 02.3""",177
6 And,23h 10m 27.36s,"+43° 32' 41.1""",112
,01h 48m 38.84s,"+37° 57' 10.6""",308
39 And,01h 02m 54.28s,"+41° 20' 42.7""",344
,01h 26m 18.60s,"+43° 27' 28.4""",135
AN And,23h 18m 23.33s,"+41° 46' 25.3""",472
HD 5608,00h 58m 14.19s,"+33° 57' 03.8""",190
,23h 55m 33.48s,"+47° 21' 21.0""",1614
,23h 57m 03.63s,"+42° 39' 29.7""",1442
,00h 46m 10.80s,"+44° 51' 41.4""",452
,02h 14m 02.53s,"+47° 29' 03.8""",135
HD 3883,00h 41m 35.98s,"+24° 37' 44.6""",462
V439 And,00h 06m 36.53s,"+29° 01' 19.0""",45
,00h 53m 28.22s,"+37° 25' 05.9""",374
,23h 30m 39.54s,"+38° 39' 44.0""",621
HD 223229,23h 47m 33.05s,"+46° 49' 57.3""",1320
,00h 04m 53.21s,"+34° 39' 34.4""",120
59 And A,02h 10m 52.83s,"+39° 02' 22.5""",263
26 And,00h 18m 42.15s,"+43° 47' 28.1""",692
,00h 57m 39.64s,"+45° 50' 21.8""",439
HD 225218,00h 04m 36.60s,"+42° 05' 33.2""",1680
,01h 17m 05.05s,"+44° 54' 07.5""",590
HD 1185,00h 16m 21.50s,"+43° 35' 42.4""",303
,23h 07m 10.05s,"+52° 48' 59.6""",423
GO And,00h 50m 18.21s,"+45° 00' 08.1""",296
,01h 12m 34.06s,"+45° 20' 14.9""",698
66 And,02h 27m 51.75s,"+50° 34' 12.7""",173
,02h 20m 41.50s,"+47° 18' 39.0""",836
,00h 11m 59.03s,"+48° 09' 08.5""",550
,00h 37m 07.20s,"+24° 00' 51.3""",334
HD 221776,23h 34m 46.73s,"+38° 01' 26.3""",678
,02h 38m 17.86s,"+37° 43' 36.6""",270
HD 221246,23h 30m 07.39s,"+49° 07' 59.3""",856
OP And,01h 36m 27.21s,"+48° 43' 22.2""",420
,00h 08m 41.02s,"+36° 37' 38.7""",108
,02h 19m 10.84s,"+46° 28' 20.2""",452
,00h 14m 02.29s,"+33° 12' 21.9""",293
