? Ant,10h 27m 09.16s,"?31° 04' 04.1""",366
? Ant,09h 29m 14.74s,"?35° 57' 04.9""",700
? Ant,10h 56m 43.00s,"?37° 08' 14.9""",199
? Ant,09h 44m 12.13s,"?27° 46' 10.4""",384
? Ant,09h 58m 52.34s,"?35° 53' 27.4""",106
HD 90132,10h 23m 29.41s,"?38° 00' 35.0""",132
HD 96146,11h 04m 54.21s,"?35° 48' 16.9""",530
HD 82205,09h 29m 54.52s,"?26° 35' 22.6""",763
U Ant,10h 35m 12.88s,"?39° 33' 45.3""",836
HR 4049,10h 18m 07.60s,"?28° 59' 31.3""",2173
? Ant A,10h 29m 35.40s,"?30° 36' 25.5""",481
HD 93905,10h 49m 57.05s,"?34° 03' 29.5""",346
HD 83380,09h 37m 09.87s,"?32° 10' 43.0""",267
HD 92845,10h 42m 43.21s,"?32° 42' 56.4""",605
HD 83332,09h 37m 00.25s,"?25° 17' 48.7""",293
?1 Ant B,09h 30m 46.08s,"?31° 53' 21.0""",372
HD 86267,09h 56m 35.47s,"?33° 25' 06.8""",479
HD 82514,09h 31m 32.93s,"?35° 42' 51.6""",285
?2 Ant,09h 31m 32.19s,"?31° 52' 18.6""",374
HD 88809,10h 13m 45.98s,"?40° 20' 45.9""",450
HD 85206,09h 49m 28.15s,"?37° 11' 12.4""",407
HD 83441,09h 37m 28.42s,"?36° 05' 45.6""",337
HD 88218,10h 09m 32.09s,"?35° 51' 24.5""",100
HD 82165,09h 29m 16.25s,"?38° 24' 12.8""",203
HD 89015,10h 15m 20.89s,"?36° 31' 03.8""",367
?1 Ant A,09h 30m 46.10s,"?31° 53' 22.0""",
HD 90071,10h 23m 13.14s,"?30° 09' 44.0""",175
HD 87606,10h 05m 15.28s,"?36° 23' 03.7""",422
HD 85725,09h 52m 58.21s,"?27° 19' 56.7""",186
HD 88522,10h 12m 02.88s,"?28° 36' 21.4""",509
HD 89442,10h 18m 37.88s,"?36° 48' 16.5""",608
BF Ant,09h 56m 54.14s,"?27° 28' 30.8""",502
HD 88836,10h 13m 56.58s,"?40° 18' 38.7""",448
HD 88013,10h 08m 01.67s,"?37° 20' 00.5""",590
HD 85296,09h 49m 51.36s,"?36° 16' 06.5""",555
HD 92589,10h 40m 51.56s,"?35° 44' 30.2""",695
HD 88742,10h 13m 24.99s,"?33° 01' 54.8""",74
HD 84224,09h 42m 41.37s,"?35° 30' 06.2""",1417
HD 87477,10h 04m 23.39s,"?39° 58' 33.1""",637
S Ant,09h 32m 18.45s,"?28° 37' 40.4""",245
HD 82785,09h 33m 07.71s,"?39° 07' 45.0""",237
HD 84567,09h 45m 22.01s,"?30° 12' 09.9""",3500
HD 83108,09h 35m 11.88s,"?35° 49' 25.5""",207
HD 92987,10h 43m 36.0s,"?39° 03' 31""",142
HD 93083,10h 44m 20.91s,"?33° 34' 37.2""",94
T Ant,09h 33m 50.86s,"?36° 36' 56.7""",3200
? Ant B,10h 29m 34.77s,"?30° 36' 33.1""",481
TWA 6,10h 18m 28.70s,"?31° 50' 02.9""",
WASP-66,10h 32m 54.0s,"?34° 59' 23""",1239
TWA 7,10h 42m 30.06s,"?33° 40' 16.6""",
UX Ant,10h 57m 09.0s,"?37° 23' 56""",
DEN 1048-3956,10h 48m 15s,"?39° 56' 06""",13051
XTE J0929-314,09h 29m 20.19s,"?31° 29' 03.2""",
2MASS 0939-2448,09h 39m 39.49s,"?24° 48' 27.9""",17
