Name,RA,Dec,Dist. (ly)
? Aqr,21h 31m 33.52s,"?05° 34' 16.2""",612
? Aqr,22h 05m 47.03s,"?00° 19' 11.4""",758
? Aqr,22h 54m 39.04s,"?15° 49' 14.7""",159
?1 Aqr,22h 28m 49.80s,"?00° 01' 12.2""",103
88 Aqr,23h 09m 26.76s,"?21° 10' 20.9""",234
? Aqr,22h 52m 36.86s,"?07° 34' 46.8""",391
? Aqr,20h 47m 40.53s,"?09° 29' 44.5""",229
? Aqr,22h 21m 39.30s,"?01° 23' 14.5""",158
98 Aqr,23h 22m 58.30s,"?20° 06' 01.2""",162
? Aqr,22h 35m 21.33s,"?00° 07' 02.5""",183
?2 Aqr,22h 49m 35.51s,"?13° 35' 33.1""",380
? Aqr,22h 16m 49.97s,"?07° 46' 59.7""",191
? Aqr,23h 14m 19.33s,"?06° 02' 54.7""",222
?1 Aqr,23h 15m 53.28s,"?09° 05' 15.7""",148
? Aqr,22h 06m 26.21s,"?13° 52' 10.3""",172
99 Aqr,23h 26m 02.82s,"?20° 38' 30.7""",308
?2 Aqr,23h 17m 54.20s,"?09° 10' 57.0""",322
?2 Aqr,22h 28m 50.10s,"?00° 01' 12.0""",251
3 Aqr,20h 47m 44.24s,"?05° 01' 39.4""",445
86 Aqr,23h 06m 40.81s,"?23° 44' 35.2""",188
?2 Aqr,23h 42m 43.28s,"?14° 32' 41.1""",154
? Aqr,21h 09m 35.59s,"?11° 22' 18.0""",164
? Aqr,21h 37m 45.04s,"?07° 51' 14.9""",179
66 Aqr,22h 43m 35.25s,"?18° 49' 49.1""",484
101 Aqr,23h 33m 16.63s,"?20° 54' 52.3""",320
89 Aqr,23h 09m 54.88s,"?22° 27' 27.3""",521
? Aqr,20h 52m 39.21s,"?08° 58' 59.7""",155
? Aqr,22h 03m 18.83s,"?02° 09' 19.2""",381
? Aqr,22h 25m 16.61s,"+01° 22' 38.6""",1101
? Aqr,22h 30m 38.82s,"?10° 40' 40.4""",265
104 Aqr A,23h 41m 45.80s,"?17° 48' 59.5""",643
? Aqr,23h 16m 50.95s,"?07° 43' 35.3""",640
?1 Aqr,23h 39m 47.04s,"?14° 13' 19.4""",134
?3 Aqr,23h 18m 57.65s,"?09° 36' 38.6""",249
? Aqr,22h 37m 45.42s,"?04° 13' 39.9""",234
25 Aqr,21h 39m 33.28s,"+02° 14' 37.5""",241
47 Aqr,22h 21m 35.58s,"?21° 35' 52.9""",183
1 Aqr,20h 39m 24.83s,"+00° 29' 11.4""",245
108 Aqr,23h 51m 21.32s,"?18° 54' 33.0""",321
94 Aqr B,23h 19m 06.37s,"?13° 27' 17.0""",69
97 Aqr,23h 22m 39.10s,"?15° 02' 21.8""",237
94 Aqr A,23h 19m 06.51s,"?13° 27' 30.4""",69
? Aqr,22h 34m 41.50s,"?20° 42' 28.3""",74
68 Aqr,22h 47m 33.19s,"?19° 36' 46.3""",266
106 Aqr,23h 44m 12.06s,"?18° 16' 36.9""",331
258 G. Aqr,23h 42m 27.81s,"?15° 26' 52.7""",280
107 Aqr,23h 46m 00.84s,"?18° 40' 42.1""",212
32 Aqr,22h 04m 47.43s,"?00° 54' 22.5""",231
41 Aqr,22h 14m 18.02s,"?21° 04' 28.9""",281
42 Aqr,22h 16m 48.04s,"?12° 49' 53.2""",484
? Aqr,22h 20m 11.91s,"?07° 49' 16.0""",743
103 Aqr,23h 41m 34.51s,"?18° 01' 36.8""",584
38 Aqr,22h 10m 37.46s,"?11° 33' 53.9""",561
83 Aqr,23h 05m 09.71s,"?07° 41' 37.7""",188
18 Aqr,21h 24m 11.44s,"?12° 52' 41.3""",157
21 Aqr,21h 25m 16.96s,"?03° 33' 23.7""",408
7 Aqr,20h 56m 54.03s,"?09° 41' 51.1""",601
12 Aqr B,21h 04m 04.58s,"?05° 49' 24.2""",
49 Aqr,22h 23m 30.79s,"?24° 45' 45.6""",272
77 Aqr,22h 54m 45.60s,"?16° 16' 18.3""",140
5 Aqr,20h 52m 08.69s,"?05° 30' 25.4""",753
30 Aqr,22h 03m 16.43s,"?06° 31' 20.7""",271
53 Aqr B,22h 26m 34.15s,"?16° 44' 31.7""",65
217 G. Aqr,23h 15m 34.26s,"?03° 29' 46.9""",231
96 Aqr,23h 19m 23.86s,"?05° 07' 27.5""",114
28 Aqr,22h 01m 05.01s,"+00° 36' 17.1""",661
26 Aqr,21h 42m 10.12s,"+01° 17' 07.0""",1583
HD 222093,23h 37m 39.54s,"?13° 03' 37.1""",283
?1 Aqr,22h 47m 42.75s,"?14° 03' 23.1""",260
269 G. Aqr,23h 50m 33.26s,"?14° 24' 05.2""",460
19 Aqr,21h 25m 13.02s,"?09° 44' 53.3""",276
94 G. Aqr,21h 54m 10.34s,"?04° 16' 33.4""",291
HD 216718,22h 55m 10.94s,"?04° 59' 16.4""",293
264 G. Aqr,23h 47m 15.94s,"?11° 54' 39.2""",346
44 Aqr,22h 17m 06.50s,"?05° 23' 14.0""",341
50 Aqr,22h 24m 27.03s,"?13° 31' 45.9""",542
HD 223807,23h 52m 50.49s,"?08° 59' 48.1""",612
80 G. Aqr,21h 35m 17.63s,"?03° 58' 59.9""",441
51 Aqr,22h 24m 06.87s,"?04° 50' 13.2""",424
35 Aqr,22h 08m 58.99s,"?18° 31' 10.5""",6792
HD 211392,22h 16m 52.60s,"?09° 02' 24.1""",351
74 Aqr,22h 53m 28.69s,"?11° 36' 59.5""",657
15 Aqr,21h 18m 11.07s,"?04° 31' 10.2""",979
271 G. Aqr,23h 52m 30.05s,"?14° 15' 04.3""",286
11 G. Aqr,20h 50m 41.70s,"?12° 32' 41.0""",250
16 Aqr,21h 21m 04.33s,"?04° 33' 36.5""",336
60 Aqr,22h 34m 02.89s,"?01° 34' 27.0""",444
12 Aqr A,21h 04m 04.74s,"?05° 49' 23.08""",541
255 G. Aqr,23h 41m 08.87s,"?11° 40' 50.4""",379
138 G. Aqr,22h 23m 32.15s,"?07° 11' 40.0""",466
268 G. Aqr,23h 50m 14.65s,"?09° 58' 27.6""",307
202 G. Aqr,23h 01m 31.70s,"?04° 42' 41.3""",1011
DV Aqr,20h 58m 41.87s,"?14° 28' 59.1""",276
246 G. Aqr,23h 34m 49.33s,"?15° 14' 44.9""",351
45 Aqr,22h 19m 00.70s,"?13° 18' 17.9""",354
225 G. Aqr,23h 19m 24.11s,"?18° 04' 31.4""",1116
162 G. Aqr,22h 35m 36.36s,"?23° 59' 27.9""",337
205 G. Aqr,23h 02m 44.29s,"?20° 52' 13.4""",251
HD 210434,22h 10m 33.70s,"?04° 16' 00.7""",282
4 Aqr,20h 51m 25.69s,"?05° 37' 35.9""",192
17 Aqr,21h 22m 56.27s,"?09° 19' 09.4""",720
39 Aqr,22h 12m 25.74s,"?14° 11' 37.8""",142
HD 199442,20h 57m 10.57s,"+00° 27' 50.2""",318
HD 223311,23h 48m 32.48s,"?06° 22' 49.4""",723
119 G. Aqr,22h 11m 02.30s,"?21° 13' 57.7""",185
74 G. Aqr,21h 26m 27.99s,"+01° 06' 13.5""",156
198 G. Aqr,22h 59m 35.68s,"?13° 04' 15.2""",656
HD 219279,23h 14m 40.18s,"?10° 41' 19.1""",836
HD 213429,22h 31m 18.22s,"?06° 33' 17.6""",83
155 G. Aqr,22h 31m 18.42s,"?02° 54' 40.3""",473
HD 218061,23h 05m 12.88s,"?17° 04' 44.9""",552
128 G. Aqr,22h 16m 33.67s,"?01° 35' 46.9""",262
89 G. Aqr,21h 47m 38.20s,"?05° 55' 00.6""",256
126 G. Aqr,22h 16m 59.79s,"?23° 08' 24.4""",519
HD 220035,23h 20m 40.95s,"?05° 54' 28.2""",400
82 Aqr,23h 02m 32.56s,"?06° 34' 26.1""",1240
234 G. Aqr,23h 24m 07.76s,"?18° 41' 17.2""",367
70 Aqr,22h 48m 30.19s,"?10° 33' 19.8""",377
78 Aqr,22h 54m 34.13s,"?07° 12' 16.3""",609
238 G. Aqr,23h 29m 00.69s,"?09° 15' 57.7""",2203
11 Aqr,21h 00m 33.81s,"?04° 43' 47.7""",86
266 G. Aqr,23h 49m 31.58s,"?15° 51' 40.3""",424
HD 205765,21h 37m 33.77s,"?00° 23' 25.8""",399
2 G. Aqr,20h 39m 13.25s,"?02° 24' 46.7""",1230
HD 214448,22h 38m 22.10s,"?07° 53' 51.2""",459
81 Aqr,23h 01m 23.65s,"?07° 03' 40.1""",418
274 G. Aqr,23h 53m 20.81s,"?24° 13' 45.2""",300
HD 198272,20h 49m 17.25s,"?00° 33' 47.8""",942
HD 200375,21h 03m 03.09s,"+01° 31' 55.9""",215
